Rank,Ticker,Name,Return (%),Risk,Industry,Sector,Rating
1,AAYAN.KW,A'ayan Leasing and Investment Company K.S.C.P.,56.83,0.278,Rental & Leasing Services,Industrials,
2,AAYANRE.KW,A'ayan Real Estate Company K.S.C.P.,62.06,0.301,Real Estate Services,Real Estate,
3,KFH.KW,Kuwait Finance House K.S.C.P.,9.34,0.072,Banks - Diversified,Financial Services,3.4 - Hold
4,ZAIN.KW,Mobile Telecommunications Company K.S.C.P.,13.82,0.108,Telecom Services,Communication Services,2.9 - Hold
5,KIB.KW,Kuwait International Bank K.S.C.P.,5.59,0.051,Banks - Regional,Financial Services,
6,KCIN.KW,Kuwait National Cinema Company (K.P.S.C),33.67,0.281,Entertainment,Communication Services,
7,SPEC.KW,Specialities Group Holding Company K.P.S.C.,40.01,0.329,Conglomerates,Industrials,
8,NAPESCO.KW,National Petroleum Services Company K.S.C.P.,22.88,0.203,Oil & Gas Equipment & Services,Energy,
9,OOREDOO.KW,National Mobile Telecommunications Company K.S.C.P.,50.35,0.412,Telecom Services,Communication Services,
10,BOUBYAN.KW,Boubyan Bank K.S.C.P.,10.83,0.105,Banks - Regional,Financial Services,
11,NICBM.KW,National Industries Company - KPSC,29.37,0.278,Building Products & Equipment,Industrials,
12,GFH.KW,GFH Bank B.S.C.,43.55,0.402,Banks - Regional,Financial Services,
13,ALG.KW,Ali Al-Ghanim Sons Automotive Company K.S.C.P.,12.12,0.138,Auto & Truck Dealerships,Consumer Cyclical,
14,MABANEE.KW,Mabanee Company K.P.S.C.,23.53,0.272,Real Estate - Diversified,Real Estate,
15,TAM.KW,Tamdeen Real Estate Company - KPSC,11.03,0.135,Real Estate - Diversified,Real Estate,
16,SENERGY.KW,Senergy Holding Company K.S.C.P.,41.18,0.488,Oil & Gas Equipment & Services,Energy,
17,JTC.KW,JTC Logistics Transportation & Stevedoring Co. K.S.C.P.,16.64,0.22,Trucking,Industrials,
18,JAZEERA.KW,Jazeera Airways K.S.C.P.,35.97,0.485,Airlines,Industrials,3.3 - Hold
19,ALENMA.KW,Al-Enma'a Real Estate Company K.S.C.P.,16.93,0.269,Real Estate Services,Real Estate,
20,AMAR.KW,Amar Finance and Leasing Company - KPSC,25.98,0.399,Real Estate Services,Real Estate,
21,MIDAN.KW,Al-Maidan Clinic for Oral Health Services Company K.S.C.P.,16.22,0.262,Medical Care Facilities,Healthcare,
22,ALMANAR.KW,Al Manar Financing and Leasing Company K.S.C. (Public),17.23,0.305,Credit Services,Financial Services,
23,ALAQARIA.KW,Kuwait Real Estate Holding Company - KPSC,19.41,0.362,Real Estate Services,Real Estate,
24,STC.KW,Kuwait Telecommunications Company K.S.C.P.,8.07,0.178,Telecom Services,Communication Services,
25,ALIMTIAZ.KW,Al Imtiaz Group Holding Co (K.S.C.P),27.43,0.576,Asset Management,Financial Services,
26,MAZAYA.KW,Al-Mazaya Holding Company - K.S.C. (Public),11.53,0.272,Real Estate Services,Real Estate,
27,AQAR.KW,Aqar Real Estate Investments Company K.S.C. (Public),13.53,0.326,Real Estate Services,Real Estate,
28,WETHAQ.KW,Wethaq Takaful Insurance Company K.S.C.P.,17.95,0.516,Insurance - Diversified,Financial Services,
