Rank,Ticker,Name,Return (%),Risk,Industry,Sector,Rating
1,TRANSI.RO,Transilvania Investments Alliance S.A.,53.03,0.141,Asset Management,Financial Services,
2,TLV.RO,Banca Transilvania S.A.,55.82,0.151,Banks - Regional,Financial Services,
3,DIGI.RO,Digi Communications N.V.,143.38,0.347,Telecom Services,Communication Services,
4,SNG.RO,SNGN Romgaz SA,120.46,0.308,Oil & Gas E&P,Energy,
5,EFO.RO,"Turism, Hoteluri, Restaurante Marea Neagra S.A.",98.37,0.29,Resorts & Casinos,Consumer Cyclical,
6,EVER.RO,Evergent Investments SA,97.59,0.292,Asset Management,Financial Services,
7,BRD.RO,BRD - Groupe Société Générale S.A.,86.63,0.295,Banks - Regional,Financial Services,
8,H2O.RO,S.P.E.E.H. Hidroelectrica S.A.,63.58,0.233,Utilities - Renewable,Utilities,4.2 - Underperform
9,TGN.RO,S.N.T.G.N. Transgaz S.A.,80.99,0.307,Utilities - Regulated Gas,Utilities,
10,EBS.RO,Erste Group Bank AG,61.77,0.248,Banks - Regional,Financial Services,
11,FOJE.RO,S.C. Foraj Sonde S.A.,142.71,0.476,Oil & Gas Drilling,Energy,
12,REIT.RO,Star Invest Imobiliare S.a.,80.11,0.315,REIT - Residential,Real Estate,
13,PBK.RO,Patria Bank SA,63.08,0.261,Banks - Regional,Financial Services,
14,SNP.RO,OMV Petrom S.A.,57.48,0.246,Oil & Gas Integrated,Energy,
15,ROCE.RO,S.C. Romcarbon S.A.,73.57,0.308,Packaging & Containers,Consumer Cyclical,
16,EAI.RO,Electro-Alfa International S.A.,127.42,0.487,Electrical Equipment & Parts,Industrials,
17,SOCP.RO,SOCEP S.A.,31.56,0.169,Marine Shipping,Industrials,
18,LONG.RO,Longshield Investment Group SA,46.42,0.247,Asset Management,Financial Services,
19,LION.RO,Lion Capital S.A.,48.87,0.263,Asset Management,Financial Services,
20,RPH.RO,S.C. Ropharma S.A.,35.81,0.207,Pharmaceutical Retailers,Healthcare,
21,ARS.RO,Aerostar S.A.,129.33,0.587,Aerospace & Defense,Industrials,
22,BUCV.RO,S.C. Bucur S.A.,38.16,0.226,Food Distribution,Consumer Defensive,
23,MORA.RO,SC Morarit Panificatie Roman SA,147.33,0.666,Grocery Stores,Consumer Defensive,
24,IPRU.RO,S.C. Iproeb S.A.,41.11,0.268,Electrical Equipment & Parts,Industrials,
25,ALU.RO,Alumil Rom Industry S.A.,19.89,0.141,Aluminum,Basic Materials,
26,ELMA.RO,Electromagnetica S.A.,37.17,0.247,Electrical Equipment & Parts,Industrials,
27,TBK.RO,Transilvania Broker de Asigurare S.A.,25.08,0.18,Insurance Brokers,Financial Services,
28,CMP.RO,Compa S.A.,43.19,0.291,Auto Parts,Consumer Cyclical,
29,SNN.RO,S.N. Nuclearelectrica S.A.,62.0,0.394,Utilities - Regulated Electric,Utilities,
30,TEL.RO,CNTEE Transelectrica SA,66.45,0.464,Utilities - Regulated Electric,Utilities,
31,PTR.RO,Rompetrol Well Services SA,30.4,0.242,Oil & Gas Equipment & Services,Energy,
32,ONE.RO,One United Properties SA,32.45,0.265,Real Estate - Development,Real Estate,
33,ALW.RO,S.C. Visual Fan S.A.,31.01,0.256,Consumer Electronics,Technology,
34,FP.RO,Fondul Proprietatea SA,47.83,0.374,Asset Management,Financial Services,
35,TSND.RO,S.C. Tusnad S.A.,14.32,0.128,Lodging,Consumer Cyclical,
36,ASC.RO,Ascendia S.A.,57.74,0.445,Software - Application,Technology,
37,M.RO,Med Life S.A.,49.93,0.407,Medical Care Facilities,Healthcare,
38,SATU.RO,S.C. Saturn S.A. Alba Iulia,46.79,0.389,Metal Fabrication,Industrials,
39,MOIB.RO,S.C. Moara Cibin S.A.,21.85,0.2,Packaged Foods,Consumer Defensive,
40,FOSB.RO,SC Foraj Sonde SA Craiova,111.7,0.78,Oil & Gas Drilling,Energy,
41,SPTU.RO,S.C. Spit Bucovina S.A.,32.01,0.287,Auto Parts,Consumer Cyclical,
42,MIB.RO,Millenium Insurance Broker S.A.,29.87,0.27,Insurance Brokers,Financial Services,
43,MOBE.RO,S.C. Mobest S.A.,93.16,0.697,"Furnishings, Fixtures & Appliances",Consumer Cyclical,
44,ELV.RO,S.C. Elvila S.A.,88.87,0.674,Business Equipment & Supplies,Industrials,
45,AQ.RO,Aquila Part Prod Com S.A.,45.91,0.448,Trucking,Industrials,
46,CAIN.RO,S.C. Casa Alba - Independenta S.A.,78.25,0.72,Real Estate Services,Real Estate,
47,CODE.RO,Softbinator Technologies S.A.,30.12,0.333,Software - Application,Technology,
48,OIL.RO,Oil Terminal S.A.,8.54,0.107,Oil & Gas Midstream,Energy,
49,TUAA.RO,S.C. Turism Covasna S.A.,78.39,0.807,Lodging,Consumer Cyclical,
50,CMF.RO,Comelf S.A.,24.56,0.305,Specialty Industrial Machinery,Industrials,
51,ELJA.RO,S.C. Electromontaj Carpati S.A.,28.03,0.355,Engineering & Construction,Industrials,
52,MECF.RO,Mecanica Ceahlau S.A.,23.23,0.305,Farm & Heavy Construction Machinery,Industrials,
53,DN.RO,Dn Agrar Group S.A.,24.49,0.358,Specialty Business Services,Industrials,
54,CCOM.RO,S.C. CEREALCOM S.A.,38.3,0.569,Farm Products,Consumer Defensive,
55,WINE.RO,Purcari Wineries Public Company Limited,6.37,0.112,Beverages - Wineries & Distilleries,Consumer Defensive,
56,NCHI.RO,Napochim Imobiliare S.A.,35.34,0.563,"Furnishings, Fixtures & Appliances",Consumer Cyclical,
57,AROBS.RO,AROBS Transilvania Software S.A.,11.82,0.22,Software - Application,Technology,
58,BENTO.RO,2B Intelligent Soft S.A.,13.54,0.251,Information Technology Services,Technology,
59,BNET.RO,Bittnet Systems SA,23.86,0.428,Information Technology Services,Technology,
60,RMAH.RO,Farmaceutica REMEDIA S.A.,12.91,0.248,Medical Distribution,Healthcare,
61,ARCV.RO,S.C. Imotrust S.A.,12.66,0.254,Real Estate Services,Real Estate,
62,UNIR.RO,S.C. Unirea S.A.,40.64,0.748,Real Estate Services,Real Estate,
63,CHRD.RO,Chromosome Dynamics S.a.,39.59,0.737,Software - Application,Technology,
64,CBC.RO,Carbochim S.A.,20.62,0.422,Metal Fabrication,Industrials,
65,PPL.RO,S.C. Promateris S.A.,7.53,0.168,Packaging & Containers,Consumer Cyclical,
66,IORB.RO,S.C. IOR S.A.,17.23,0.375,Medical Instruments & Supplies,Healthcare,
67,DOIS.RO,SC Dorna Turism SA,24.37,0.525,Lodging,Consumer Cyclical,
68,SIDG.RO,S.C. ArcelorMittal Hunedoara S.A.,54.79,1.078,Steel,Basic Materials,
69,FACY.RO,Fabrica de Scule Rasnov S.A.,35.07,0.739,Tools & Accessories,Industrials,
70,BRCR.RO,S.C. Braiconf S.A.,29.87,0.65,Apparel Manufacturing,Consumer Cyclical,
71,CMCM.RO,S.C. Comcm S.A.,10.82,0.312,Engineering & Construction,Industrials,
72,NC.RO,Meta Estate Trust S.A.,4.44,0.147,REIT - Residential,Real Estate,
73,EPN.RO,Societatea Comerciala Ema S.A.,56.66,1.641,Apparel Manufacturing,Consumer Cyclical,
74,COTE.RO,Conpet S.A.,3.3,0.12,Oil & Gas Midstream,Energy,
75,PRSN.RO,S.C.Prospectiuni S.A.,5.66,0.231,Oil & Gas Equipment & Services,Energy,
76,VAC.RO,Prodvinalco SA,3.07,0.133,Beverages - Wineries & Distilleries,Consumer Defensive,
77,AG.RO,Agroland Business System S.A.,5.01,0.22,Agricultural Inputs,Basic Materials,
78,CACU.RO,SIFI CJ LOGISTIC SA,4.39,0.25,Conglomerates,Industrials,
79,STKP.RO,STK Properties S.A.,3.31,0.272,Real Estate - Development,Real Estate,
80,UARG.RO,S.C. Argus S.A.,2.27,0.189,Farm Products,Consumer Defensive,
81,BBGA.RO,Alum S.A.,12.51,1.057,Aluminum,Basic Materials,
82,FEP.RO,SC Feper S.A.,2.94,0.418,Conglomerates,Industrials,
83,ARMT.RO,S.C. Caromet S.A.,3.05,0.968,Metal Fabrication,Industrials,
84,TRGI.RO,S.C.Transporturi Auto Giulesti S.A.,1.18,0.401,Railroads,Industrials,
85,SAFE.RO,Safetech Innovations S.A.,0.28,0.213,Software - Infrastructure,Technology,
86,BIOW.RO,Vifrana S.A.,0.12,0.37,Beverages - Wineries & Distilleries,Consumer Defensive,
87,CBOT.RO,S.C. Comcereal S.A.,-3.49,0.973,Farm Products,Consumer Defensive,
88,SPX.RO,Sipex Company S.A.,-1.67,0.382,Building Materials,Basic Materials,
89,CRPC.RO,Carpathia Capital Alternatywna Spolka Inwestycyjna S.A.,-7.8,0.593,Asset Management,Financial Services,
90,AMAL.RO,International Caviar Corporation SA,-7.83,0.461,Farm Products,Consumer Defensive,
91,PVBS.RO,Perseus Fintech S A,-6.97,0.372,Asset Management,Financial Services,
92,CLAIM.RO,Air Claim S.A.,-4.09,0.159,Airports & Air Services,Industrials,
93,PREB.RO,S.C. Prebet Aiud S.A.,-5.05,0.168,Building Materials,Basic Materials,
94,CHIA.RO,S.C. Constructii Hidrotehnice S.A.,-16.21,0.565,Engineering & Construction,Industrials,
95,UZC.RO,S.C. Uzuc S.A.,-18.18,0.601,Metal Fabrication,Industrials,
96,ARAX.RO,Armax Gaz SA,-5.5,0.168,Oil & Gas Equipment & Services,Energy,
97,ALT.RO,Altur S.A.,-5.46,0.163,Auto Parts,Consumer Cyclical,
98,IMP.RO,Impact Developer & Contractor S.A.,-7.76,0.22,Real Estate - Development,Real Estate,
99,STNM.RO,S.C. Santierul Naval 2 Mai S.A.,-14.6,0.409,Aerospace & Defense,Industrials,
100,AVIO.RO,Avioane Craiova S.A.,-10.93,0.281,Aerospace & Defense,Industrials,
101,VIAG.RO,Vinalcool Arges S.A.,-22.73,0.563,Beverages - Wineries & Distilleries,Consumer Defensive,
102,ELJ.RO,S.C. Electroaparataj S.A.,-15.61,0.3,Electrical Equipment & Parts,Industrials,
103,GGC.RO,Glissando Garden Center S.a.,-7.89,0.126,Home Improvement Retail,Consumer Cyclical,
104,BUCS.RO,S.C. Bucovina S.A.,-35.51,0.61,Packaged Foods,Consumer Defensive,
105,NRF.RO,Norofert S.A.,-13.82,0.209,Agricultural Inputs,Basic Materials,
