Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
AG.SW,0.5782821688040196,0.2711299590114775,23789.98,0.939,2.13285972126577,,,,First Majestic Silver Corp.
DSFIR.SW,0.1117339379901805,0.06257999530802602,256.46,0.217,1.7854577559524103,2.0027795991876522,2.003,Yes,DSM-Firmenich AG
LUKN.SW,0.03665460420538591,0.02231649559022949,54.03,0.077,1.6424892545151162,0.18258341029565067,0.183,Yes,Luzerner Kantonalbank AG
KNIN.SW,0.038315896850045994,0.025414485937718806,57.02,0.088,1.5076400500070557,0.18561830777012825,0.186,Yes,Kuehne + Nagel International AG
OERL.SW,0.08756925086257716,0.06610795943992145,173.83,0.229,1.3246400524911015,1.0949070205374702,1.095,Yes,OC Oerlikon Corporation AG
UBSGE.SW,0.05701364232917822,0.054241732213186844,94.52,0.188,1.05110290551004,1.02397005767449,1.024,Yes,UBS Group AG
WKBN.SW,0.023050901257906212,0.02458780722235344,31.45,0.085,0.9374931668144044,-0.37950152262172193,0.38,No,Walliser Kantonalbank
BNP.SW,0.055013240674271636,0.062070992925233395,90.15,0.215,0.8862954833111328,1.3570250021849213,1.357,Yes,BNP Paribas SA
SGKN.SW,0.027102173734553047,0.03208634698099955,37.84,0.111,0.8446637365918296,0.07793272907383941,0.078,Yes,St. Galler Kantonalbank AG
BEKN.SW,0.043337396310520276,0.05512284085153456,66.38,0.191,0.7861967133958737,0.05065165875864328,0.051,Yes,Berner Kantonalbank AG
BCVN.SW,0.034340182298678704,0.04964366223560272,49.95,0.172,0.6917334610751402,-0.23879672635415689,0.239,No,Banque Cantonale Vaudoise
GRKP.SW,0.04475525851147676,0.0661291685714059,69.11,0.229,0.676785440953341,-0.3974365751720348,0.397,No,Graubündner Kantonalbank
ELMN.SW,0.007327637806381803,0.010975691307752737,9.16,0.038,0.6676242617361047,0.020071907282260316,0.02,Yes,Elma Electronic AG
EMMN.SW,0.020983717929034095,0.03157427509575313,28.3,0.109,0.6645827296239808,-0.13413303549038547,0.134,No,Emmi AG
SIGN.SW,0.05009197397093698,0.07551392902132771,79.77,0.262,0.6633474727131374,1.0023907140396553,1.002,Yes,SIG Group AG
VPBN.SW,0.017117393247245847,0.02746283787010516,22.59,0.095,0.6232929505759159,0.32663566433284263,0.327,Yes,VP Bank AG
LLBN.SW,0.03886736517488247,0.0627812978872639,58.02,0.217,0.6190914568965494,-0.5317104591992825,0.532,No,Liechtensteinische Landesbank Aktiengesellschaft
DKSH.SW,0.02328772247492179,0.039699986069776934,31.82,0.138,0.5865927114934285,0.5492454025144112,0.549,Yes,DKSH Holding AG
AAPL.SW,0.040940255124982575,0.07094853099595474,61.85,0.246,0.5770416180613641,0.5958667614326518,0.596,Yes,Apple Inc.
MRVL.SW,0.20159288126568803,0.3514720216181392,805.92,1.218,0.5735673648718217,0.672512210819755,0.673,Yes,"Marvell Technology, Inc."
SFSN.SW,0.02415682811655431,0.04310909693064125,33.17,0.149,0.5603649771513545,0.45835964117960587,0.458,Yes,SFS Group AG
DHL.SW,0.03502235465163409,0.06318185904401286,51.15,0.219,0.554310290668043,1.0962247875397386,1.096,Yes,DHL AG
EMSN.SW,0.035311635420479576,0.06590402362950305,51.65,0.228,0.5358039384513653,0.23291820148049794,0.233,Yes,EMS-CHEMIE HOLDING AG
GURN.SW,0.1856394274520852,0.35234491260565814,671.67,1.221,0.5268684769115752,-3.3118094822699833,3.312,No,Gurit Holding AG
VACN.SW,0.06912507117740779,0.13218430326772207,123.02,0.458,0.5229446270742448,1.1664199986169215,1.166,Yes,VAT Group AG
BAER.SW,0.0350486162292534,0.06840798275905045,51.19,0.237,0.5123468755496438,1.1151298165020191,1.115,Yes,Julius Bär Gruppe AG
BAS.SW,0.024941406077553328,0.04872691180345586,34.4,0.169,0.5118610056421512,-0.1866202311672993,0.187,No,BASF SE
PPGN.SW,0.06449169699240566,0.12814040175193211,111.69,0.444,0.5032893303804025,-0.19210924498916454,0.192,No,PolyPeptide Group AG
BCGE.SW,0.03224320366429371,0.0645594392953045,46.35,0.224,0.4994343819624654,-0.2607983720734419,0.261,No,Banque Cantonale de Genève SA
SDZ.SW,0.037488362841506424,0.0763570199673338,55.52,0.265,0.4909615757338916,1.1759894604612073,1.176,Yes,Sandoz Group AG
VAHN.SW,0.02409015345790121,0.04909620018532224,33.06,0.17,0.49067246277652216,-0.3540025510024084,0.354,No,Vaudoise Assurances Holding SA
BVZN.SW,0.037557427167650544,0.07733513622019687,55.65,0.268,0.4856450638518696,-0.45262810652993524,0.453,No,BVZ Holding AG
GLKBN.SW,0.021919485368400965,0.0455490272378529,29.72,0.158,0.48122839712776727,0.5488808933666345,0.549,Yes,Glarner Kantonalbank
ESUN.SW,0.026421485755696295,0.05505329955299152,36.74,0.191,0.4799255625044655,-0.5509960013035078,0.551,No,Edisun Power Europe AG
SMHN.SW,0.10189644890994291,0.21477187655374372,220.4,0.744,0.4744403715467128,0.8819755022692265,0.882,Yes,SUSS MicroTec SE
ZUBN.SW,0.01747410328621057,0.03803042470419339,23.11,0.132,0.4594769430561685,0.04164886742076454,0.042,Yes,Züblin Immobilien Holding AG
