Ticker,mean,std,Return,Risk,sharpe,Name
TAL1T.TL,0.012343123996854034,0.021888035552694862,15.86,0.076,0.5639210502531528,AS Tallink Grupp
CPA1T.TL,0.020333416940756677,0.03785453360785705,27.32,0.131,0.5371461487650264,Coop Pank AS
EFT1T.TL,0.007413853113303614,0.01770837021368311,9.27,0.061,0.41866377446609915,EfTEN Real Estate Fund AS
TKM1T.TL,0.004363076033033925,0.011524849402541042,5.36,0.04,0.37857987385691455,TKM Grupp AS
HAE1T.TL,0.014999877341469474,0.04249841444517543,19.56,0.147,0.3529514580083896,AS Harju Elekter Group
TVE1T.TL,0.006492462889282711,0.020694443830116725,8.08,0.072,0.31372975966786787,AS Tallinna Vesi
TSM1T.TL,0.008672876297200366,0.06354305242712513,10.92,0.22,0.13648819132739848,AS Tallinna Sadam
PRF1T.TL,-0.0013980982030419094,0.09680177070093555,-1.66,0.335,-0.01444289905978339,AS PRFoods
NHCBHFFT.TL,-0.007365779718225015,0.12428914900533439,-8.49,0.431,-0.05926325650446671,Baltic Horizon Fund
NCN1T.TL,-0.006919384413331548,0.07055435731650322,-7.99,0.244,-0.09807168085014997,Nordecon AS
SKN1T.TL,-0.009754940604172592,0.05110465921882918,-11.1,0.177,-0.19088162905855846,Nordic Fibreboard AS
SFG1T.TL,-0.011296823085355555,0.04315715911144486,-12.74,0.15,-0.26176011855144904,AS Silvano Fashion Group
TPD1T.TL,-0.01259398431379462,0.034685737120487725,-14.11,0.12,-0.36308827083728795,AS Trigon Property Development
PKG1T.TL,-0.05587104273889332,0.06224007513871943,-49.84,0.216,-0.8976699114576752,AS Pro Kapital Grupp
ARC1T.TL,-0.027431865046619777,0.02599028464758183,-28.38,0.09,-1.0554661258460696,Arco Vara AS
LVN1T.TL,-0.009080763162284998,0.005634694508709437,-10.37,0.02,-1.6115803879427784,Liven AS
