Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
ET32.PA,0.24141060894886343,0.07938617795977887,1239.63,0.275,3.040965255578553,,,,Bitwise Ethereum Staking ETC
FREY.PA,0.024766724939379335,0.021856044827589266,34.12,0.076,1.133175061396098,0.10172770859901539,0.102,Yes,Frey SA
DEC.PA,0.044660397424099156,0.05146411973778111,68.93,0.178,0.8677967805852284,-0.05063718788626874,0.051,No,JCDecaux SE
BSOL.PA,0.1607968808022057,0.2007458105627051,498.51,0.695,0.8009974422453965,,,,Bitwise Solana Staking ETN
GNFT.PA,0.15680765530469817,0.19999906816329155,474.29,0.693,0.7840419295187453,2.9669274842396387,2.967,Yes,Genfit S.A.
MLGAL.PA,0.11169560741149777,0.17036452506855498,256.31,0.59,0.6556271463589691,1.0847053744978359,1.085,Yes,Galeo Concept Société Anonyme
EC.PA,0.03197654753924539,0.05054365042191275,45.89,0.175,0.6326521189570083,-0.8648982330540811,0.865,No,TotalEnergies EP Gabon Société Anonyme
MLHIN.PA,0.028058774992975308,0.044877459673784106,39.38,0.155,0.6252309109502981,-0.29136808704947637,0.291,No,Société Hôtelière et Immobilière de Nice S.A.
GET.PA,0.021587866482805074,0.03530427356598573,29.21,0.122,0.6114802629334974,0.3611031976854193,0.361,Yes,Getlink SE
LACR.PA,0.08649556535018176,0.1516562482646408,170.6,0.525,0.5703396090825524,2.0711597159433586,2.071,Yes,LACROIX Group SA
AMUN.PA,0.03792837468514218,0.06688727150112915,56.32,0.232,0.567049213309619,1.1845209625896915,1.185,Yes,Amundi S.A.
DBG.PA,0.05864222603308186,0.10378347803973663,98.15,0.36,0.5650439466928341,1.841065179940021,1.841,Yes,Derichebourg SA
MLZAM.PA,0.053084399277531905,0.09402903280698034,86.02,0.326,0.564553284159604,-0.675043032244388,0.675,No,ZCCM Investments Holdings Plc
FINM.PA,0.2950680100067679,0.53402909763597,2125.93,1.85,0.5525317090641119,1.8069484100222934,1.807,Yes,Financière Marjos SA
