Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
SMIFL.XC,6.993738060595005e-05,2.888818220228949e-05,0.08,0.0,2.4209685509532433,0.00022209616380748228,0.0,Yes,TwentyFour Select Monthly Income Fund Limited
BIOMAC.XC,0.09463130289195452,0.051322315831753076,195.95,0.178,1.8438626815317287,,,,BioMar Group A/S
UZNF.IL,0.07162308627721599,0.0396136459626399,129.35,0.137,1.808040753046679,-1.8304890493705253,1.83,No,Joint Stock Company National Investment Fund Of The Republic Of Uzbekistan
0NVC.IL,0.03776640496325142,0.022326705535018348,56.03,0.077,1.6915350499883046,0.14554390282443955,0.146,Yes,Danske Bank A/S
0QMW.IL,0.03990384933296438,0.023733842423001274,59.93,0.082,1.6813059015801084,-0.030166811818544748,0.03,No,Kuehne + Nagel International AG
LUKNZ.XC,0.035805699143104046,0.022897831339467725,52.52,0.079,1.563715734135387,0.058141057284613516,0.058,Yes,Luzerner Kantonalbank AG
AIBGL.XC,0.04335109367198484,0.029205968264271437,66.4,0.101,1.48432311093817,-0.4104372813257385,0.41,No,AIB Group plc
0QO3.IL,0.08740672230241864,0.06243821039022862,173.34,0.216,1.3998915368672626,1.4395407240793827,1.44,Yes,OC Oerlikon Corporation AG
OERLZ.XC,0.08763040258474665,0.06635174833327101,174.02,0.23,1.3206947033949639,1.5710521513612197,1.571,Yes,OC Oerlikon Corporation AG
12DAD.XC,0.23962989568724807,0.1828460704115361,1216.75,0.633,1.3105553493597495,-7.891341957102307,7.891,No,Dell Technologies Inc.
SWEDAS.XC,0.03550861899444956,0.027893449666967017,52.0,0.097,1.273009234010265,0.08979652677459415,0.09,Yes,Swedbank AB (publ)
0R7R.IL,0.030401599723641405,0.0240671156346394,43.24,0.083,1.2632008000113186,0.3813975978799634,0.381,Yes,Svenska Handelsbanken AB (publ)
SGLNL.XC,0.06509929155943671,0.051698698472550264,113.15,0.179,1.2592056179905877,0.03315317593291949,0.033,Yes,iShares Physical Gold ETC
0FBS.IL,0.014666135617803172,0.012017889690749045,19.09,0.042,1.2203586482485902,0.006644252400980974,0.007,Yes,Orange Belgium S.A.
BNCL.XC,0.026346477525588507,0.022229304233990048,36.62,0.077,1.185213772246773,,,,"Banco Santander, S.A."
SHIP.L,0.024374475265884484,0.020872855241273258,33.51,0.072,1.1677595127324625,0.09849171967081652,0.098,Yes,Tufton Assets Limited
NSI.L,0.018298985893492655,0.016095925715455747,24.31,0.056,1.1368706725529598,0.23869795562506332,0.239,Yes,New Star Investment Trust Ord
SHBAS.XC,0.030416769561786117,0.02734200811861752,43.27,0.095,1.1124555822611637,0.3319865019789365,0.332,Yes,Svenska Handelsbanken AB (publ)
DANSKC.XC,0.03671252315838122,0.033481297515134255,54.13,0.116,1.0965083758114924,0.3995731763901208,0.4,Yes,Danske Bank A/S
0H6T.IL,0.035103222766303344,0.03214316921289896,51.29,0.111,1.0920896609104904,0.03738952785804164,0.037,Yes,Swedbank AB (publ)
DSFIRZ.XC,0.0821787951071893,0.07646140902054313,157.98,0.265,1.0747747937146968,,,,DSM-Firmenich AG
COST.L,0.050859351672480964,0.04837156175605174,81.36,0.168,1.0514308371719665,0.7494846211085254,0.749,Yes,Costain Group PLC
STORBS.XC,0.08751870840052912,0.08485912512687788,173.68,0.294,1.0313411582982355,,,,Storytel AB (publ)
0MGD.IL,0.04254248111845574,0.041485555006321846,64.86,0.144,1.0254769669098758,0.8593271069552989,0.859,Yes,Jyske Bank A/S
CGEOL.XC,0.060548701793751,0.059073991143196516,102.47,0.205,1.0249637890045342,0.5286957664847831,0.529,Yes,Georgia Capital PLC
BRAI.L,0.025172190298278684,0.02481365059255421,34.76,0.086,1.0144492929158944,0.45023378015830234,0.45,Yes,BlackRock American Income Trust Ord
KLR.L,0.06707119397602118,0.06612418927694047,117.93,0.229,1.0143216077117327,1.3830938637719286,1.383,Yes,Keller Group plc
CGEO.L,0.05776385875425796,0.058345209643956855,96.18,0.202,0.9900360133548838,0.6328828623468641,0.633,Yes,Georgia Capital PLC
KLRL.XC,0.06640083211041492,0.06784668484118256,116.29,0.235,0.9786894122512819,1.4046023693067142,1.405,Yes,Keller Group plc
ATC.L,0.04578859890693653,0.0481888125685923,71.13,0.167,0.9501914752881846,0.21054691071476495,0.211,Yes,ATC Music Group plc
COSTL.XC,0.05113692038011708,0.05447879589360933,81.93,0.189,0.9386573168757522,1.0026593050794186,1.003,Yes,Costain Group PLC
SSABBS.XC,0.06707349198062347,0.07227402127105492,117.94,0.25,0.9280442792725273,1.1982016073041222,1.198,Yes,SSAB AB (publ)
OCTVS.XC,0.05688330374398801,0.06511956453582605,94.23,0.226,0.8735209479586308,0.869861012820503,0.87,Yes,Octave Intelligence plc
0Q99.IL,0.028411607333667724,0.03286869071441668,39.96,0.114,0.8643972946937611,0.311157006862187,0.311,Yes,ageas SA/NV
0R65.IL,0.08017767749476878,0.09282773736904791,152.31,0.322,0.8637254312901403,0.5710594205149147,0.571,Yes,Hoist Finance AB (publ)
INVEBS.XC,0.03851912879377817,0.04472942449546441,57.39,0.155,0.8611586048392827,1.114364244499012,1.114,Yes,Investor AB (publ)
0MGO.IL,0.04663738730288356,0.05446864270534661,72.8,0.189,0.8562245171992446,0.3140888484794307,0.314,Yes,JCDecaux SE
0ILK.IL,0.04080311961579235,0.04779549353079964,61.59,0.166,0.8537022342806991,0.06146128432410905,0.061,Yes,"CaixaBank, S.A."
0MHZ.IL,0.066294564357821,0.07790195818483406,116.04,0.27,0.8509999735889464,1.2181580972411343,1.218,Yes,SSAB AB (publ)
CABKE.XC,0.04225439767423706,0.04996854878134165,64.32,0.173,0.8456198689927719,0.023069226988043152,0.023,Yes,"CaixaBank, S.A."
0QT6.IL,0.1586252667469725,0.18769645475771113,485.22,0.65,0.845115945059989,3.7614038173378583,3.761,Yes,Genfit S.A.
0EEI.IL,0.022667576356565213,0.02763104593873368,30.86,0.096,0.8203662071579205,0.4952360666428722,0.495,Yes,EVN AG
GSFL.XC,0.0001240607093091553,0.0001518569752503059,0.15,0.001,0.8169575951625929,-0.0008623156766077485,0.001,No,Gore Street Energy Storage Fund Plc
0RHS.IL,0.02634269255903563,0.03244471720798762,36.62,0.112,0.8119254789667355,0.29731584468584815,0.297,Yes,ASR Nederland N.V.
STAR.L,0.11016508306555456,0.13612941171182538,250.47,0.472,0.8092673117457149,-0.4636356838726551,0.464,No,Star Energy Group Plc
0ML0.IL,0.042247666267420055,0.052447621315783385,64.31,0.182,0.8055211124456888,1.222066188172301,1.222,Yes,"Sonae, SGPS, S.A."
QQQ3L.XC,0.2469046600690685,0.30653588996025843,1312.53,1.062,0.8054673796959927,25.294138229362456,25.294,Yes,WisdomTree NASDAQ 100 3x Daily 
0KII.IL,0.0623695234651312,0.07854609202507583,106.68,0.272,0.7940499884477987,1.2085996211302412,1.209,Yes,SSAB AB (publ)
AGCPL.XC,0.03359448146582043,0.042315779861373505,48.66,0.147,0.7938996179646447,-0.22887688830210998,0.229,No,WisdomTree Broad Commodities
0RJN.IL,0.041429159339521196,0.05225878126070982,62.76,0.181,0.7927693363692974,0.3430147049517051,0.343,Yes,"Banco Comercial Português, S.A."
BBY.L,0.029460838986312184,0.03729785177214688,41.68,0.129,0.7898803171369997,0.3390196861557174,0.339,Yes,Balfour Beatty plc
EMMNZ.XC,0.02260401359592664,0.028752733872065516,30.76,0.1,0.7861518037381268,0.1476827490788911,0.148,Yes,Emmi AG
WKBNZ.XC,0.022196871115342652,0.028292565623369077,30.14,0.098,0.7845478353157372,-0.3168947529779074,0.317,No,Walliser Kantonalbank
0MJX.IL,0.07298856403195594,0.0930360811862487,132.88,0.322,0.7845188995637113,-1.023026344978331,1.023,No,Aker ASA
ZINC.L,0.02973529031283918,0.0385573740698958,42.14,0.134,0.7711959393016709,0.2086681723153626,0.209,Yes,WisdomTree Zinc
BSRT.L,0.07252439487832323,0.09410732747053552,131.68,0.326,0.7706561946627398,1.543088038634866,1.543,Yes,Baker Steel Resources Trust Ltd.
EMGL.XC,0.05309769594280805,0.06913404558776709,86.05,0.239,0.7680397623396628,1.0305090388022262,1.031,Yes,Man Group Plc
0MTD.IL,0.04772541947737114,0.06234396237924549,74.97,0.216,0.7655179051188938,1.193003340567086,1.193,Yes,Swedish Orphan Biovitrum AB (publ)
0QWA.IL,0.026724019048722358,0.035166727063525804,37.23,0.122,0.759923407158352,0.5982909758499155,0.598,Yes,"Logista Integral, S.A."
BEKNZ.XC,0.043905057155117395,0.05786607204161974,67.47,0.2,0.7587357428293908,0.335322566483145,0.335,Yes,Berner Kantonalbank AG
BBYL.XC,0.028490195283783694,0.03755702029900259,40.09,0.13,0.7585850809506396,0.3756584918937199,0.376,Yes,Balfour Beatty plc
BBVAE.XC,0.046003192967708745,0.06088457471509722,71.55,0.211,0.7555804271110657,0.5075053365570631,0.508,Yes,"Banco Bilbao Vizcaya Argentaria, S.A."
EMG.L,0.05338717184101893,0.07072313728758525,86.66,0.245,0.7548756162205847,1.127360324192891,1.127,Yes,Man Group Plc
0NO0.IL,0.03146888529222461,0.042016097463091893,45.04,0.146,0.748972112887632,0.7920658600562808,0.792,Yes,Storebrand ASA
0R1F.IL,0.04248861872598988,0.057034162825168856,64.76,0.198,0.7449678687532149,0.9130597843327195,0.913,Yes,Bristol-Myers Squibb Company
GOLD.L,0.06644839586400812,0.08976009002681362,116.41,0.311,0.7402888727513341,,,,Invesco Physical Markets plc - Invesco Physical Gold II ETC
0NXR.IL,0.07946755826424089,0.10761530129835442,150.33,0.373,0.7384410702333466,1.137996674657074,1.138,Yes,Raiffeisen Bank International AG
SGKNZ.XC,0.026619500182738273,0.03613179691299184,37.06,0.125,0.7367333611123766,0.03546472426331792,0.035,Yes,St. Galler Kantonalbank AG
0N9G.IL,0.047426791061753626,0.06473695833944398,74.37,0.224,0.7326076522328152,0.7424204235521993,0.742,Yes,"Endesa, S.A."
0O5C.IL,0.2337633911407582,0.32111865583491284,1143.89,1.112,0.7279657749344093,1.3451576413698132,1.345,Yes,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft
0QVV.IL,0.029967921944418576,0.04122892130854577,42.52,0.143,0.7268665051929686,0.565586740179954,0.566,Yes,NN Group N.V.
POLB.L,0.08825494332541174,0.12156764431903067,175.91,0.421,0.725973953182837,-0.1330312775089456,0.133,No,Poolbeg Pharma PLC
RTW.L,0.04767648870071,0.065793681973521,74.87,0.228,0.7246362761685482,0.5813652224208251,0.581,Yes,RTW Biotech Opportunities Ltd
AKERO.XC,0.06896346682625919,0.09526776589633387,122.61,0.33,0.7238908793274543,-1.3121818768093818,1.312,No,Aker ASA
0N7X.IL,0.0545500270667371,0.07538943034598726,89.15,0.261,0.723576591789974,1.0995712154685149,1.1,Yes,Cloetta AB (publ)
RTWL.XC,0.04808771094154562,0.06650676948741956,75.7,0.23,0.723049868639942,0.4802577012155913,0.48,Yes,RTW Biotech Opportunities Ltd
GRPL.XC,0.00828797049600659,0.011499092388738271,10.41,0.04,0.7207499701562082,0.02125310853458888,0.021,Yes,Greencoat Renewables PLC
PNLL.XC,1.0301358886092167e-05,1.4292555422479632e-05,0.01,0.0,0.7207499695883616,-0.00023808737495205427,0.0,No,Personal Assets Trust plc
FSFLL.XC,9.194679644438794e-05,0.0001275710035783774,0.11,0.0,0.7207499656291206,0.0014955026630828882,0.001,Yes,Foresight Solar Fund Limited
GCPL.XC,8.767717738288797e-05,0.00012164714770035045,0.11,0.0,0.7207499644698646,0.00022498755500625922,0.0,Yes,GCP Infrastructure Investments Limited
TRIGL.XC,7.396978035969594e-05,0.00010262890601395788,0.09,0.0,0.7207499644362944,0.00018978984532558557,0.0,Yes,The Renewables Infrastructure Group Limited
JCGIL.XC,5.4804319542281984e-05,7.603790814326667e-05,0.07,0.0,0.7207499638078224,0.0008913506361380903,0.001,Yes,JPMorgan China Growth & Income plc
SEQIL.XC,8.247128125609792e-05,0.00011442426005876093,0.1,0.0,0.720749963458326,0.001341374049959509,0.001,Yes,Sequoia Economic Infrastructure Income Fund Limited
AEWUL.XC,7.585615304829535e-05,0.00010524614234470686,0.09,0.0,0.7207499615505896,0.0012050108786265375,0.001,Yes,AEW UK REIT plc
BIPSL.XC,6.457796233320927e-05,8.959828789808374e-05,0.08,0.0,0.7207499590468225,0.0010502989737600275,0.001,Yes,Invesco Bond Income Plus Ltd
THRLL.XC,6.514508716008606e-05,9.038514171092759e-05,0.08,0.0,0.7207499587535636,0.00016699808202047116,0.0,Yes,Target Healthcare REIT PLC
HFELL.XC,9.991388410239111e-05,0.00013862618893665095,0.12,0.0,0.7207432078223655,0.0016259033548850044,0.002,Yes,Henderson Far East Income Limited
ORITL.XC,7.733402812661115e-05,0.00010729843221242827,0.09,0.0,0.7207377268430734,0.0001979082823455301,0.0,Yes,Octopus Renewables Infrastructure Trust plc
AFLL.XC,3.5184728980071566e-05,4.8817662054688236e-05,0.04,0.0,0.7207376899912924,0.00041857920066017595,0.0,Yes,Artemis UK Future Leaders plc
HICLL.XC,6.191947701634385e-05,8.591243892792835e-05,0.07,0.0,0.7207277291742107,-0.001824661452759815,0.002,No,HICL Infrastructure PLC
CTPEL.XC,5.9258862734948397e-05,8.222101173218571e-05,0.07,0.0,0.7207265087903474,0.0009626391811966396,0.001,Yes,CT Private Equity Trust PLC
INPPL.XC,6.169055329166826e-05,8.559762984158393e-05,0.07,0.0,0.7207039891856744,0.00040233418242622865,0.0,Yes,International Public Partnerships Limited
AASL.XC,2.069764695467329e-05,2.8719121087794194e-05,0.02,0.0,0.7206922137833083,5.02953344904586e-05,0.0,Yes,Aberdeen Asia Focus PLC
STSL.XC,3.297789074181187e-05,4.575929607734517e-05,0.04,0.0,0.7206817754816556,0.0002611486082346111,0.0,Yes,STS Global Income & Growth Trust plc
MRCHL.XC,4.856690493253888e-05,6.739078681737428e-05,0.06,0.0,0.7206757366426483,0.0012239344321918171,0.001,Yes,The Merchants Trust Plc
JUGIL.XC,4.371788640239881e-05,6.066333384571099e-05,0.05,0.0,0.7206640919799984,0.00010618361696602879,0.0,Yes,JPMorgan UK Small Cap Growth & Income Plc
UEML.XC,4.2659383880789345e-05,5.919682411549766e-05,0.05,0.0,0.7206363604499716,-0.0005731814408086929,0.001,No,Utilico Emerging Markets Trust PLC
BNKRL.XC,2.2268773056292606e-05,3.0901938195918965e-05,0.03,0.0,0.7206270660146977,0.00036114010208232374,0.0,Yes,The Bankers Investment Trust PLC
AEIL.XC,6.576727767017373e-05,9.126507949486131e-05,0.08,0.0,0.7206182039635078,0.0005037372468105218,0.001,Yes,Aberdeen Equity Income Trust plc
ALWL.XC,2.0921244371268004e-05,2.9033555659768697e-05,0.03,0.0,0.7205884327925504,4.7854344273516955e-05,0.0,Yes,Alliance Witan Plc
UKWL.XC,7.551876863744826e-05,0.00010480231506205612,0.09,0.0,0.7205830194946713,0.00017246995262637483,0.0,Yes,Greencoat Uk Wind Plc
TMPLL.XC,5.240189763883825e-05,7.272664414205233e-05,0.06,0.0,0.7205323201285756,-0.0015304073791164582,0.002,No,Temple Bar Investment Trust PLC
EGLL.XC,4.3867168868976886e-05,6.0892192175833405e-05,0.05,0.0,0.7204071212004529,0.0007085533097384341,0.001,Yes,Ecofin Global Utilities and Infrastructure Trust plc
0QNY.IL,0.002126700147816925,0.0029525421982211524,2.58,0.01,0.7202945817669326,0.005994934139500691,0.006,Yes,3M Company
JGGIL.XC,3.651244559033006e-05,5.0703007430980214e-05,0.04,0.0,0.7201238632645777,-0.0010691950038377853,0.001,No,JPMorgan Global Growth & Income plc
AIBG.L,0.03145215869406751,0.043678089769886894,45.01,0.151,0.7200900694093921,-0.37860917265947547,0.379,No,AIB Group plc
BUTL.XC,1.6303380456669468e-05,2.2646287724764126e-05,0.02,0.0,0.7199140386634506,0.0003582840909589667,0.0,Yes,The Brunner Investment Trust PLC
BRLAL.XC,6.527097128897104e-05,9.06851473657303e-05,0.08,0.0,0.7197537103373202,0.0010455695795723956,0.001,Yes,BlackRock Latin American Investment Trust plc
MTUL.XC,5.7214207662601875e-05,7.95052878341725e-05,0.07,0.0,0.7196277030269476,0.0009478117091785306,0.001,Yes,Montanaro UK Smaller Companies Investment Trust PLC
PSHL.XC,1.8362054687884817e-05,2.551876496923165e-05,0.02,0.0,0.7195510719278231,5.469119750769718e-05,0.0,Yes,"Pershing Square Holdings, Ltd."
EDINL.XC,4.00744411143633e-05,5.570959013282197e-05,0.05,0.0,0.7193454667108198,0.0003753153577389667,0.0,Yes,The Edinburgh Investment Trust plc
SJGL.XC,4.4792085135356285e-05,6.229259923721495e-05,0.05,0.0,0.7190594979796014,-0.00021021586363569023,0.0,No,Schroder Japan Trust plc
JEGIL.XC,4.9965054911888425e-05,6.950561242486648e-05,0.06,0.0,0.718863602070972,0.0008562022911702512,0.001,Yes,JPMorgan European Growth & Income plc
BBOXL.XC,5.5352533432862885e-05,7.70355158592445e-05,0.07,0.0,0.7185326510177501,-0.0017269249991509362,0.002,No,Tritax Big Box REIT plc
SAINL.XC,2.953274918366818e-05,4.114204603072712e-05,0.04,0.0,0.7178240275559342,0.000133471427524323,0.0,Yes,The Scottish American Investment Company P.L.C.
NESFL.XC,0.00010330320160708462,0.00014392136875279114,0.12,0.0,0.7177752859238369,0.0003503172778732841,0.0,Yes,NextEnergy Solar Fund Limited
GRKPZ.XC,0.043351696423798075,0.06041724770155365,66.41,0.209,0.7175384194583772,0.06238835282806321,0.062,Yes,Graubündner Kantonalbank
CVCGL.XC,7.411694787195778e-05,0.00010335502829013199,0.09,0.0,0.7171102277085268,0.00035631997821051006,0.0,Yes,CVC Income & Growth Limited
