Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
AUREATE.BO,0.16719849777600726,0.010471794393969822,539.35,0.036,15.966556588648116,,,,Aureate Tradde Limited
VOGL.BO,0.09489315208599776,0.00766008743743776,196.8,0.027,12.387998552368847,,,,Vedanta Oil and Gas Limited
ELIQUID.NS,0.004081186049542489,0.0003367319962307896,5.01,0.001,12.119982939623364,0.0011517301915204342,0.001,Yes,Edelweiss Nifty 1D Rate Liquid ETF - Growth
LIQUID1.NS,0.004130086491372731,0.0003585906104103368,5.07,0.001,11.517553364396953,0.0016560393343959699,0.002,Yes,Kotak Mahindra Mutual Fund - Kotak Nifty 1d Rate Liquid Etf
LIQUIDADD.NS,0.004042403018871301,0.000357129798007012,4.96,0.001,11.319142343848696,0.0014078854395458053,0.001,Yes,DSP S&P BSE Liquid Rate ETF
LIQUIDPLUS.NS,0.004107417587429689,0.00037086117166731285,5.04,0.001,11.075350835364118,0.0014038050033208984,0.001,Yes,Mirae Asset Nifty 1D Rate Liquid ETF-Growth
LIQUIDSHRI.NS,0.003893724364405753,0.0003519265042120113,4.77,0.001,11.064027056228916,0.0019378840558781146,0.002,Yes,Shriram Nifty 1D Rate Liquid ETF
LIQUIDCASE.NS,0.004056838483285354,0.00037014224700832895,4.98,0.001,10.960214663618407,0.0018205243063072274,0.002,Yes,Zerodha Nifty 1D Rate Liquid ETF
HDFCLIQUID.NS,0.003975929116572633,0.00036830076999215614,4.88,0.001,10.795332077794217,0.0011089591451878336,0.001,Yes,HDFC Nifty 1D Rate Liquid ETF - Growth
LIQUIDBETF.NS,0.0039701415158299195,0.00036976330089030237,4.87,0.001,10.736980945028238,0.0023108609459259266,0.002,Yes,Bajaj Nifty 1D Rate Liquid ETF - Growth
AONELIQUID.NS,0.0040906702603067295,0.00038940611409908496,5.02,0.001,10.504894792858472,0.001035699530372843,0.001,Yes,Angel One Nifty 1D Rate Liquid ETF - Growth
VOGL.NS,0.09577625510961821,0.009306990360539573,199.68,0.032,10.290786967578375,,,,Vedanta Oil and Gas Limited
GROWWLIQID.NS,0.003879492442861257,0.0003941434696629286,4.76,0.001,9.84284338436204,0.002431448038842385,0.002,Yes,Groww Nifty 1D Rate Liquid ETF
AUTOPRD.BO,0.2417756213950662,0.040747228233284395,1244.37,0.141,5.933547676196823,,,,Automobile Products Of India Limited
ABSLLIQUID.NS,0.0028649350689844864,0.0005700628263527104,3.49,0.002,5.025647940095445,0.001057764579613549,0.001,Yes,Aditya BSL CRISIL Liquid Ovrnght ETF
E2E.BO,0.2511313458171579,0.07780561393570329,1371.08,0.27,3.2276764247974046,,,,E2E Networks Limited
SBINMID150.NS,0.016480752235100708,0.007664642068531564,21.67,0.027,2.1502311637963003,-0.15345588272548288,0.153,No,SBI Nifty Midcap 150 ETF
SMALLIETF.NS,0.019548972487876903,0.009321437686463669,26.15,0.032,2.0972057257074597,,,,ICICI Prudential Nifty Smallcap 250 ETF
MERCURYEV.NS,0.08202079142535121,0.03997558742018128,157.53,0.138,2.051772011833998,,,,Mercury Ev-Tech Limited
HRMNYCP.BO,0.04085242308571752,0.020198001688595354,61.69,0.07,2.0225972705401114,-0.08376978286172747,0.084,No,Harmony Capital Services Limited
LIQUID.NS,0.003221834795301874,0.001616511021265345,3.94,0.006,1.9930793869750056,-0.008518270965116781,0.009,No,Mirae Asset Nifty 1D Rate Liquid ETF-IDCW
SMALLGROWW.NS,0.032174095404495826,0.016589367007687927,46.23,0.057,1.93944081106805,,,,Groww Nifty Smallcap 250 Momentum Quality 100 ETF
