Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
581A.T,0.4085938532556662,0.18578611641257925,6001.4,0.644,2.199270113103032,,,,GO Inc.
8381.T,0.0639671003168794,0.050688839781929736,110.44,0.176,1.2619562923924583,0.17271444201522862,0.173,Yes,"The San-in Godo Bank,Ltd."
8388.T,0.09840985784683873,0.07871401362413424,208.44,0.273,1.2502203015177669,0.02705883882161278,0.027,Yes,"The Awa Bank, Ltd."
8362.T,0.12139710582618829,0.09855299438586383,295.47,0.341,1.2317952040186935,0.595761990306259,0.596,Yes,"The Fukui Bank, Ltd."
8360.T,0.0821154925078116,0.06876162562737335,157.8,0.238,1.1942052236054495,0.16720076328744773,0.167,Yes,"The Yamanashi Chuo Bank,Ltd."
6752.T,0.10209302420023461,0.09133653406662322,221.08,0.316,1.1177676626722592,0.6898943684702142,0.69,Yes,Panasonic Holdings Corporation
8392.T,0.10910409734481305,0.09912343026275676,246.47,0.343,1.1006892826004862,0.2694512712820073,0.269,Yes,"The Oita Bank, Ltd."
575A.T,0.16695543966827045,0.1525971999534784,537.75,0.529,1.0940924192525772,,,,"MAEZAWA Holdings CO.,LTD."
6360.T,0.032260363249042065,0.02966891421671003,46.38,0.103,1.0873455972605997,0.07467514530837004,0.075,Yes,"Tokyo Automatic Machinery Works, Ltd."
8336.T,0.07269886041734962,0.06722635237368957,132.13,0.233,1.0814042090702787,0.2718098700227751,0.272,Yes,"The Musashino Bank, Ltd."
8387.T,0.0882412167052095,0.0831502430869182,175.87,0.288,1.0612262024654533,0.20510995591361322,0.205,Yes,"The Shikoku Bank, Ltd."
7384.T,0.09778823515389826,0.09346957912754933,206.35,0.324,1.0462038672545604,0.06521209629725434,0.065,Yes,"Procrea Holdings, Inc."
8359.T,0.05576641083985496,0.05378649032004451,91.78,0.186,1.0368107401696853,0.2561522170287045,0.256,Yes,"Hachijuni Nagano Bank, Ltd."
5844.T,0.04671923076678883,0.04546916347342149,72.97,0.158,1.0274926389199583,-0.08423748892912963,0.084,No,"Kyoto Financial Group,Inc."
8341.T,0.06525105461434083,0.06362249419516326,113.51,0.22,1.025597242607024,0.17579178328469391,0.176,Yes,"The 77 Bank, Ltd."
8395.T,0.07586519817495647,0.07429648530738533,140.49,0.257,1.021114227154635,0.2173507068224027,0.217,Yes,The Bank of Saga Ltd.
7389.T,0.11704582474923747,0.11478016293852043,277.44,0.398,1.019739140916977,-0.0019299676020440026,0.002,No,"Aichi Financial Group, Inc."
7327.T,0.05882141331487354,0.05823808032805933,98.55,0.202,1.0100163498440926,0.17127323451454493,0.171,Yes,"Daishi Hokuetsu Financial Group, Inc."
546A.T,0.06458896737454657,0.06444462793980058,111.93,0.223,1.0022397434721917,0.12914139509110292,0.129,Yes,"Miraini Holdings Co., Ltd."
8393.T,0.1076002557066638,0.10766022885178632,240.88,0.373,0.9994429405755297,0.07663994695535362,0.077,Yes,"The Miyazaki Bank, Ltd."
7322.T,0.09142911125205538,0.09212780053135544,185.72,0.319,0.9924160864009528,0.2160823582951828,0.216,Yes,"San ju San Financial Group,Inc."
8707.T,0.05709980586505676,0.0582945289536124,94.71,0.202,0.9795053993916593,0.23531787564850454,0.235,Yes,"IwaiCosmo Holdings, Inc."
8368.T,0.09953578735822922,0.1016999565195612,212.26,0.352,0.9787200581455932,0.5677072625965226,0.568,Yes,"The Hyakugo Bank, Ltd."
8522.T,0.07128632852717531,0.07290942836612434,128.49,0.253,0.9777381351723344,0.1919111847992168,0.192,Yes,"The Bank of Nagoya, Ltd."
4385.T,0.06885672974096416,0.0707691087321968,122.35,0.245,0.9729772067856692,-0.0895279526864039,0.09,No,"Mercari, Inc."
8358.T,0.06546198775454205,0.06729879831659492,114.02,0.233,0.9727066365522319,0.19635809195628884,0.196,Yes,Suruga Bank Ltd.
8377.T,0.07658339726941316,0.08065143873904944,142.42,0.279,0.9495602120279767,-0.007560087511469915,0.008,No,"Hokuhoku Financial Group, Inc."
9436.T,0.04515108902450769,0.047804062745850154,69.88,0.166,0.9445031746475824,-0.16550904807146352,0.166,No,Okinawa Cellular Telephone Company
8344.T,0.10188560936470394,0.10798401350124189,220.36,0.374,0.9435249354158538,0.4725535202638034,0.473,Yes,"The Yamagata Bank, Ltd."
8399.T,0.08023973307060767,0.085360686421361,152.49,0.296,0.9400080579779423,0.09665537443035885,0.097,Yes,"Bank of The Ryukyus, Limited"
