Ticker,mean,std,Return,Risk,sharpe,Name
KNE1L.VS,0.04932755561802405,0.056570203234856356,78.21,0.196,0.8719706275976454,AB KN Energies
APG1L.VS,0.03341853669374642,0.04506940579606069,48.36,0.156,0.7414905101026955,APB Apranga
TEL1L.VS,0.030226584853423732,0.0437082257313446,42.95,0.151,0.6915536914999334,"Telia Lietuva, AB"
LGD1L.VS,0.03650264939609535,0.05934741483179708,53.76,0.206,0.6150672190111642,Litgrid AB
INC1L.VS,0.03050871174834625,0.05208393744002918,43.42,0.18,0.5857604714212474,INVL Technology UTIB
IGN1L.VS,0.01031524526583489,0.03368629458509864,13.11,0.117,0.3062148981621121,AB Ignitis grupe
IVL1L.VS,0.02087120908246023,0.07465841993890336,28.13,0.259,0.27955599783038754,"Invalda INVL, AB"
RSU1L.VS,0.008165297774836962,0.03010162736550725,10.25,0.104,0.2712576856955377,Rokiskio Suris AB
KNR1L.VS,0.012071652175821722,0.05290671164024215,15.49,0.183,0.22816863497219747,AB Kauno Energija
PZV1L.VS,0.014564334214247186,0.06822932111141339,18.95,0.236,0.21346151444867398,AB Pieno Zvaigzdes
INL1L.VS,0.007823174789580452,0.04196006234129803,9.8,0.145,0.18644335477740004,AB INVL Baltic Farmland
AKO1L.VS,0.01189304155599958,0.06467700885979255,15.24,0.224,0.18388360509654103,AB Akola Group
AMG1L.VS,0.0051504548765029514,0.04495189143274871,6.36,0.156,0.11457704475479981,AB Amber Grid
GRG1L.VS,0.0028702770243600006,0.05438174170142782,3.5,0.188,0.0527801599315941,Grigeo Group AB
UTR1L.VS,0.0030204078013747523,0.09829151742589472,3.69,0.34,0.030729078973187482,Utenos Trikotazas AB
VBL1L.VS,-0.011479499878362566,0.06659326461681919,-12.94,0.231,-0.17238229638411862,Vilniaus Baldai AB
