Ticker,mean,std,Return,Risk,sharpe,Name
4280.SR,0.06679303099432549,0.10888832702276427,117.25,0.377,0.6134085518676551,Kingdom Holding Company
9557.SR,0.07195444756808314,0.12877138231775964,130.21,0.446,0.5587766961336678,Edarat Communication and Information Technology Co.
4347.SR,0.013870609227665304,0.027791655771355693,17.98,0.096,0.4990925816647983,Bonyan REIT Fund
2223.SR,0.04963922579290514,0.10822709043967813,78.85,0.375,0.4586580457004178,Saudi Aramco Base Oil Company - Luberef
2380.SR,0.09681141292449814,0.21330590052281626,203.1,0.739,0.45386186076996365,Rabigh Refining and Petrochemical Company
9548.SR,0.03975079863024504,0.08876882283698868,59.64,0.308,0.44780134916559305,Arabian Plastic Industrial Company Limited
4190.SR,0.0266862334892537,0.060827819922065554,37.17,0.211,0.4387175723779828,Jarir Marketing Company
1321.SR,0.04871024680176871,0.11777345098918636,76.96,0.408,0.41359276129423395,East Pipes Integrated Company for Industry
4333.SR,0.011336407167778964,0.029117517672963732,14.48,0.101,0.38933288527905907,Taleem REIT Fund
9514.SR,0.07845898373564524,0.20172927012021843,147.54,0.699,0.3889320755926417,Mohammed Hasan AlNaqool Sons Co.
1303.SR,0.04020900437492283,0.10466287988171474,60.49,0.363,0.38417636147949713,Electrical Industries Company
8313.SR,0.030379723498113173,0.0911659468514418,43.21,0.316,0.33323542997494476,Rasan Information Technology Company
3040.SR,0.009826301389059428,0.029676307345679772,12.45,0.103,0.3311160406380521,Qassim Cement Company
9523.SR,0.05071850982321993,0.15896827681677944,81.07,0.551,0.31904799396974076,Group Five Pipe Saudi Company
9540.SR,0.027644735766698406,0.09495951618686685,38.71,0.329,0.291121278590947,National Environmental Recycling Company
4348.SR,0.00490733239576597,0.017896785181106743,6.05,0.062,0.27420189414501867,Alkhabeer REIT Fund
8250.SR,0.025721987370011582,0.09500849646502273,35.63,0.329,0.27073354833565966,Gulf Insurance Group
4144.SR,0.01795190265142135,0.06730982123921998,23.8,0.233,0.26670554639597177,Raoom trading Company
1150.SR,0.017852409559763496,0.06696584048772984,23.66,0.232,0.266589793090622,Alinma Bank
4334.SR,0.005047874462071648,0.019789319239680348,6.23,0.069,0.2550807534576508,Al Maather Reit Fund
4345.SR,0.010153250185381052,0.04058013792103374,12.89,0.141,0.25020245631344584,Alinma Retail REIT Fund
4344.SR,0.01140314094239296,0.04632849057569193,14.58,0.16,0.2461366817846655,SEDCO Capital REIT Fund
2286.SR,0.0122607073763707,0.05047716794535972,15.75,0.175,0.242896102840845,Fourth Milling Company
6015.SR,0.02724694119780347,0.11895293889990538,38.07,0.412,0.22905647771116264,Americana Restaurants International PLC
2190.SR,0.02555209335690756,0.11506601701466873,35.36,0.399,0.2220646374997942,Sustained Infrastructure Holding Company
2222.SR,0.010985109996864846,0.051192909386258284,14.01,0.177,0.2145826468658095,Saudi Arabian Oil Company
2382.SR,0.015361211985374995,0.07175111634928517,20.07,0.249,0.21409021583157614,ADES Holding Company
1833.SR,0.01717462429763666,0.08092811876878346,22.67,0.28,0.2122207282082709,Almawarid Manpower Company
1060.SR,0.012391965127712056,0.05899977749060925,15.93,0.204,0.2100340993605346,Saudi Awwal Bank
5110.SR,0.020707008878994314,0.09876927537867879,27.88,0.342,0.20965030673358886,Saudi Energy Company
2083.SR,0.021398845544369778,0.10223802266927975,28.93,0.354,0.20930418043775073,Power and Water Utility Company for Jubail and Yanbu
9645.SR,0.01757811152972838,0.08678772730455271,23.26,0.301,0.2025414430780499,National Signage Industrial Company
7010.SR,0.006384757605981603,0.031557091523251965,7.94,0.109,0.20232401966693198,Saudi Telecom Company
8311.SR,0.027916390184456595,0.14001873385612015,39.15,0.485,0.1993761078652718,Saudi Enaya Cooperative Insurance Company
4337.SR,0.013327190105105179,0.0711000615559715,17.22,0.246,0.18744273652440832,SICO Capital - SICO Saudi REIT Fund
2020.SR,0.016863340509448196,0.09066945823429103,22.22,0.314,0.18598699978854083,SABIC Agri-Nutrients Company
1010.SR,0.007545578378419755,0.04065661574612756,9.44,0.141,0.18559287928775653,Riyad Bank
2110.SR,0.01865944197461997,0.10410115553616739,24.84,0.361,0.17924337034027643,Saudi Cable Company
9613.SR,0.0113178620912793,0.06323734090021368,14.46,0.219,0.17897435170682605,Shalfa Facilities Management Company
2370.SR,0.02628872661761318,0.15156304243580127,36.53,0.525,0.17345077134320855,Middle East Specialized Cables Company
8280.SR,0.016871400418753593,0.10298190686686726,22.23,0.357,0.16382878247306654,Liva Insurance Company
9614.SR,0.008318814714548574,0.05156839707320324,10.45,0.179,0.1613161390830068,Purity for Information Technology Company
2050.SR,0.013436683897188694,0.08819491318717557,17.37,0.306,0.1523521415421329,Savola Group Company
4340.SR,0.003074499512367664,0.0214724175973544,3.75,0.074,0.14318366799770468,Al Rajhi REIT Fund
9641.SR,0.005942581937263247,0.04155525314284065,7.37,0.144,0.14300434933789027,Hawyia Auctions Company
8120.SR,0.01054815703883412,0.08208625641780931,13.42,0.284,0.12850089039443158,Gulf Union Alahlia Cooperative Insurance Company
2282.SR,0.006205797215517062,0.04905075206223171,7.71,0.17,0.12651788106416062,Naqi Water Company
2230.SR,0.010622959037106272,0.08454199170042935,13.52,0.293,0.1256530491350173,Saudi Chemical Holding Company
3010.SR,0.004348688113500892,0.035665607650237886,5.35,0.124,0.12192945529337942,Arabian Cement Company
9583.SR,0.008499037265645097,0.07100201847766302,10.69,0.246,0.11970134719928932,United Mining Industries Company
2200.SR,0.015620275785363553,0.13297520372486096,20.44,0.461,0.11746758303663495,Arabian Pipes Company
6019.SR,0.0072500640516572155,0.0695549086639066,9.06,0.241,0.10423511713155934,Almasar Alshamil Education Company JSC
9632.SR,0.016877526033695175,0.17231035017936117,22.24,0.597,0.09794841700528746,Future Vision for Health Training Company
2070.SR,0.0060815477454584715,0.06390892893716621,7.55,0.221,0.0951595942319376,Saudi Pharmaceutical Industries and Medical Appliances Corporation
3007.SR,0.00851588109725291,0.08972243494867745,10.71,0.311,0.09491362001180774,Zahrat Al Waha For Trading Company
9513.SR,0.008848499680082167,0.09443482112453176,11.15,0.327,0.09369954403168294,Watani Iron Steel Company
4300.SR,0.007917814951070272,0.09313552104215801,9.93,0.323,0.08501391158252343,Dar Al Arkan Real Estate Development Company
7020.SR,0.004952330848255402,0.058551433096453026,6.11,0.203,0.08458086482865965,Etihad Etisalat Company
4162.SR,0.006770057592033066,0.08354168211721744,8.43,0.289,0.08103808087720799,Almunajem Foods Company
2283.SR,0.006489692978284778,0.08303045657577227,8.07,0.288,0.07816039133016675,The First Milling Company
1304.SR,0.008722203854240187,0.11252999283474784,10.98,0.39,0.07751003652020923,Al Yamamah Steel Industries Company
1320.SR,0.011023323005421757,0.14506573557751842,14.06,0.503,0.07598846799719462,Saudi Steel Pipes Company
9532.SR,0.004440217393857265,0.06329618609724333,5.46,0.219,0.07014984105101785,Aljouf Mineral Water Bottling Co.
2285.SR,0.004910313380880419,0.07206924510124739,6.05,0.25,0.0681332706341256,Arabian Mills for Food Products Company
2290.SR,0.009865275280689789,0.15302175199495843,12.5,0.53,0.06446975774408084,Yanbu National Petrochemical Company
9547.SR,0.008789823408212015,0.1419029273268953,11.07,0.492,0.06194250938857167,Rawasi Albina Investment Co.
8010.SR,0.006221442499693099,0.10108748756557413,7.73,0.35,0.06154512936783923,The Company for Cooperative Insurance
2180.SR,0.0066130584587154465,0.10973929439759979,8.23,0.38,0.0602615361709496,Filling and Packing Materials Manufacturing Company
9594.SR,0.01074313857284661,0.19477395353344434,13.68,0.675,0.05515695696448407,Al-Modawat Specialized Medical Company
9598.SR,0.003945252949271686,0.0715305879175446,4.84,0.248,0.055154767549506156,Al Mohafaza Company for Education
1212.SR,0.005088626029340351,0.10322069757704964,6.28,0.358,0.04929850455178254,Astra Industrial Group Company
4339.SR,0.0016093638501628695,0.03309059896453716,1.95,0.115,0.04863507765113613,Derayah Financial - Derayah Reit Fund
8030.SR,0.005402656272623166,0.12193792110906149,6.68,0.422,0.044306612934552334,The Mediterranean and Gulf Cooperative Insurance and Reinsurance Company
4146.SR,0.0051694693895418635,0.12090807997614363,6.38,0.419,0.04275536747057642,Gas Arabian Services Company
1834.SR,0.00269229700122883,0.07385325825599062,3.28,0.256,0.036454681415636035,Saudi Manpower Solutions Company
4191.SR,0.0045391396806240695,0.12642530137809754,5.59,0.438,0.03590372837671914,Abdullah Saad Mohammed Abo Moati for Bookstores Company
4349.SR,0.0006756942220130841,0.019172945172448306,0.81,0.066,0.035242067190807115,Alinma Hospitality REIT
8310.SR,0.003620262747807261,0.1069339372892889,4.43,0.37,0.03385513373563854,Amana Cooperative Insurance Company
2280.SR,0.002267679860679476,0.07027630485048117,2.76,0.243,0.03226805771168757,Almarai Company
9648.SR,0.007013102594005071,0.22147049180084286,8.75,0.767,0.03166608127782367,Hamad Mohammed Bin Saedan Real Estate Company
8040.SR,0.004433897661195071,0.14491380782995905,5.45,0.502,0.030596792173163915,Mutakamela Insurance Company
9587.SR,0.004442571315132743,0.15639759332702283,5.46,0.542,0.028405624540803868,Lana Medical Company
8230.SR,0.004712750366897375,0.1748735318526287,5.8,0.606,0.02694947781388069,Al Rajhi Company for Cooperative Insurance
9521.SR,0.0017941226711309377,0.0878566135538738,2.17,0.304,0.020421031480240007,INMAR Company
8300.SR,0.0025606247746512434,0.1435279053048487,3.12,0.497,0.01784060576382382,Wataniya Insurance Company
4336.SR,0.00034056346395775123,0.019560259975607345,0.41,0.068,0.01741098862604339,Mulkia Gulf Real Estate REIT
4020.SR,0.0008834807431537528,0.08987272698893602,1.07,0.311,0.009830354243757571,Saudi Real Estate Company
9612.SR,0.00040420101005366545,0.0425226868605524,0.49,0.147,0.009505537864509596,SAMA Healthy Water Factory company
6040.SR,0.0013942607609171256,0.18848681310527665,1.69,0.653,0.007397126292004209,Tabuk Agricultural Development Company
9574.SR,0.0005130364596589771,0.0720720048949685,0.62,0.25,0.007118387512691399,Professional Medical Expertise Company
4328.SR,-0.00013329275865279672,0.09753039641504434,-0.16,0.338,-0.0013666791436545002,Ladun Investment Co.
8210.SR,-0.00023211283871897738,0.0813387393702836,-0.28,0.282,-0.002853656701787756,Bupa Arabia for Cooperative Insurance Company
7211.SR,-0.00040208046836755847,0.1121993607474819,-0.48,0.389,-0.00358362530489357,Saudi Azm for Communication and Information Technology Company
4016.SR,-0.0003210437564618534,0.0852228906737163,-0.38,0.295,-0.0037671070990891293,Middle East Pharmaceutical Industries Company
3080.SR,-0.00042413928988328087,0.05987133040701671,-0.51,0.207,-0.007084180140977345,Eastern Province Cement Company
9558.SR,-0.0019031541894516076,0.24347797175502822,-2.26,0.843,-0.007816535416873105,Alqemam for Computer Systems Co.
4250.SR,-0.0009662475505994507,0.09377319025029839,-1.15,0.325,-0.010304091692096144,Jabal Omar Development Company
4100.SR,-0.0016597763406577188,0.08664589365913945,-1.97,0.3,-0.019155856908663147,Makkah Construction and Development Company
9588.SR,-0.0032857980096843657,0.12707831045379037,-3.87,0.44,-0.025856481707625348,Riyadh Steel Company
3060.SR,-0.001560209124933501,0.05990793506560133,-1.86,0.208,-0.026043446886042994,Yanbu Cement Company
4040.SR,-0.003943979035660192,0.12787856436058004,-4.63,0.443,-0.030841596129741713,Saudi Public Transport Company
8060.SR,-0.00329605279456598,0.0984231804522907,-3.88,0.341,-0.033488582460142066,Walaa Cooperative Insurance Company
2350.SR,-0.003051597690148797,0.08693209667732729,-3.6,0.301,-0.03510323352116598,Saudi Kayan Petrochemical Company
1120.SR,-0.002253680749234532,0.05784317756690754,-2.67,0.2,-0.03896191122328448,Al Rajhi Banking and Investment Corporation
7030.SR,-0.0018546150443662516,0.04488644002644316,-2.2,0.155,-0.041317935734570946,Mobile Telecommunications Company Saudi Arabia
4148.SR,-0.0048608035678627814,0.11600841851270965,-5.68,0.402,-0.04190043817665044,Alwasail Industrial Company
9579.SR,-0.006380107193348164,0.13330024133570575,-7.39,0.462,-0.04786268298855053,Rimath Hospitality Company
9566.SR,-0.004338630929416928,0.085652575985272,-5.08,0.297,-0.050653828907176804,Saudi Lime Industries Company
1140.SR,-0.0032343122432871674,0.06345385514693758,-3.81,0.22,-0.050971091288269224,Bank Albilad
4291.SR,-0.004565096313102136,0.08915148054156301,-5.34,0.309,-0.051206062819942263,National Company for Learning and Education
4263.SR,-0.0032747362527164674,0.06259140484072048,-3.86,0.217,-0.05231926429914546,SAL Saudi Logistics Services Company
1080.SR,-0.002656643548689203,0.05054957142847721,-3.14,0.175,-0.05255521409213328,Arab National Bank
9541.SR,-0.004005300242202838,0.07062377919340584,-4.7,0.245,-0.05671319614933342,Academy of Learning Company
2150.SR,-0.003081186367071469,0.05162064544868027,-3.64,0.179,-0.05968903217482419,The National Company for Glass Industries
7205.SR,-0.010860891565227015,0.17438150225480442,-12.28,0.604,-0.062282360369606146,Dar AlBalad for Business Solutions Company
9563.SR,-0.005204431264932582,0.08303038230623924,-6.07,0.288,-0.0626810466286568,BENA Steel Industries
9639.SR,-0.006279878330088431,0.0998389124449484,-7.28,0.346,-0.0629001075462554,Anmat Technology for Trading Co.
1820.SR,-0.005914125105814624,0.08451142049054418,-6.87,0.293,-0.06998018813890773,BAAN Holding Group Company
9647.SR,-0.0056361833386477656,0.07566113679859439,-6.56,0.262,-0.07449244852943411,Wajd life trading Company
9516.SR,-0.010104042646771562,0.12951230505172476,-11.47,0.449,-0.07801608227678597,Natural Gas Distribution Company
4002.SR,-0.005681735644983212,0.07243843153102224,-6.61,0.251,-0.07843537642791135,Mouwasat Medical Services Company
8150.SR,-0.01290528370535276,0.15273180016314492,-14.43,0.529,-0.08449637659981488,Allied Cooperative Insurance Group
4090.SR,-0.007289149662999101,0.08608900795155928,-8.4,0.298,-0.0846699228675114,Taiba Investment Company
9589.SR,-0.003924662509321364,0.04602199664558735,-4.61,0.159,-0.0852779713045689,Fad International Company
2340.SR,-0.008203429576195591,0.09550745754781238,-9.41,0.331,-0.08589307879009174,Artex Industrial Investment Company
9575.SR,-0.00622327202604416,0.0720869866135993,-7.22,0.25,-0.08633003428763288,Marble Design Factory Company
8012.SR,-0.004962836403696283,0.05716094937563976,-5.8,0.198,-0.08682214795073526,Aljazira Takaful Taawuni Company
9559.SR,-0.01287950269119534,0.14818915094945223,-14.41,0.513,-0.08691258846329836,Balady Poultry Company
9650.SR,-0.005948539650787423,0.06774021912407226,-6.91,0.235,-0.08781400071783267,Sahat Almajd Trading Company
2170.SR,-0.011305169091859484,0.1266643374483311,-12.75,0.439,-0.08925297616995854,Alujain Corporation
4142.SR,-0.00973491747139068,0.10483881708487275,-11.08,0.363,-0.0928560407497705,Riyadh Cables Group Company
2240.SR,-0.009969264479133367,0.10502883355590198,-11.33,0.364,-0.09491931064651107,Advanced Building Industries Co.
9631.SR,-0.010302485676295174,0.1078144219928955,-11.69,0.373,-0.09555758391000847,Hedab Alkhaleej Trading Co.
8180.SR,-0.00942876348995159,0.09615674200918709,-10.75,0.333,-0.0980561871475506,Al Sagr Cooperative Insurance Company
4332.SR,-0.002520340181899655,0.025690556661440777,-2.98,0.089,-0.09810375910158692,Jadwa REIT Al Haramain Fund
4051.SR,-0.0076673300484530575,0.07732150335181545,-8.82,0.268,-0.09916167839580727,Baazeem Trading Company
9569.SR,-0.011835340404716337,0.11351970004915556,-13.31,0.393,-0.10425803098133166,"AlMuneef Company for Trade, Industry, Agriculture and Contracting"
4013.SR,-0.00873180123102325,0.07883867890910866,-9.99,0.273,-0.11075529615469518,Dr. Sulaiman Al Habib Medical Services Group Company
6060.SR,-0.010602979384798922,0.0956401315531787,-12.01,0.331,-0.11086328733146249,Ash-Sharqiyah Development Co.
4170.SR,-0.015246005073061186,0.1363719191548751,-16.84,0.472,-0.11179724658524881,Tourism Enterprise Company (Shams)
9635.SR,-0.011121088055664995,0.09648658777777182,-12.56,0.334,-0.11526045548713067,Dkhoun National Trading Company
4350.SR,-0.0066014172755156884,0.05726708254977074,-7.64,0.198,-0.11527420258886781,Alistithmar AREIC Diversified REIT
8070.SR,-0.008892776102201351,0.07550961188596199,-10.16,0.262,-0.11777012065207833,Arabian Shield Cooperative Insurance Company
1835.SR,-0.008342786897476813,0.06792364551181662,-9.56,0.235,-0.12282595898103592,Tamkeen Human Resources Company
1323.SR,-0.006420502496305322,0.0518998047900393,-7.44,0.18,-0.12370956928025972,United Carton Industries Company
6070.SR,-0.010173832766681634,0.0813134901811307,-11.55,0.282,-0.12511863337828458,Al-Jouf Agricultural Development Co.
9560.SR,-0.009205547425377459,0.07356330604765768,-10.5,0.255,-0.12513776120140227,Waja Company
4110.SR,-0.009039864782137093,0.07101804420133534,-10.32,0.246,-0.12728968931486173,Batic Investments and Logistics Company
2030.SR,-0.013012356201482323,0.10057852213012615,-14.54,0.348,-0.12937509843947836,Saudi Arabian Refineries Company
1210.SR,-0.008290428680587849,0.06135656923079541,-9.51,0.213,-0.13511884358141082,Basic Chemical Industries Company
4342.SR,-0.004922943755512167,0.0345529776696198,-5.75,0.12,-0.14247523911204307,Jadwa Investment - Jadwa Reit Saudi Fund
4015.SR,-0.008372860359649919,0.05779146738676269,-9.6,0.2,-0.1448805634855319,Jamjoom Pharmaceuticals Factory Company
6018.SR,-0.014812438482121907,0.10176690063438748,-16.4,0.353,-0.14555261474787137,Sport Clubs Company
6050.SR,-0.06035062702665838,0.40342133731065355,-52.62,1.397,-0.1495970129616261,Saudi Fisheries Company
2360.SR,-0.0198231171479845,0.12707221504444965,-21.36,0.44,-0.15599883216838872,Saudi Vitrified Clay Pipe Company
2010.SR,-0.012673498319135761,0.07976953664109257,-14.19,0.276,-0.15887641890359333,Saudi Basic Industries Corporation
9634.SR,-0.011069713298042792,0.068969509301297,-12.5,0.239,-0.16050155221032755,Adeer Real Estate Company
8260.SR,-0.013563536792199462,0.0844832691914618,-15.12,0.293,-0.16054701625550072,Gulf General Cooperative Insurance Company
9578.SR,-0.0095485118579939,0.05901485935790409,-10.88,0.204,-0.16179843452791404,Atlas Elevators General Trading & Contracting Company
4005.SR,-0.021202261404453172,0.12934689518266942,-22.68,0.448,-0.16391782249206985,National Medical Care Company
1301.SR,-0.017803132080973425,0.10658048072871214,-19.39,0.369,-0.16703932989652362,United Wire Factories Company
2080.SR,-0.015862386639920605,0.09230598577407806,-17.46,0.32,-0.171845698920808,National Gas and Industrialization Company
9620.SR,-0.009601812539996524,0.05540795047496901,-10.93,0.192,-0.17329304653371397,Balsm Alofoq Medical Company
4004.SR,-0.024855497321084215,0.14242373908937386,-26.07,0.493,-0.1745179383718249,Dallah Healthcare Company
8050.SR,-0.023709587859086303,0.13295904074994178,-25.02,0.461,-0.17832249484769758,Salama Cooperative Insurance Company
9543.SR,-0.009538810026190342,0.05201168129059004,-10.86,0.18,-0.18339745590796935,Saudi Networkers Services Company
7203.SR,-0.022506772447110666,0.11963261873575971,-23.9,0.414,-0.18813240640349793,Elm Company
2060.SR,-0.017123365014500222,0.09003398863198918,-18.72,0.312,-0.19018778657570515,National Industrialization Company
3005.SR,-0.015696130423281027,0.08032556488067087,-17.29,0.278,-0.19540641197604652,Umm Al-Qura Cement Company
9601.SR,-0.015301465188761342,0.07645463028423458,-16.89,0.265,-0.20013784818362532,Mohammed Hadi Al-Rasheed Company
9627.SR,-0.02467621935910463,0.12283809827358681,-25.91,0.426,-0.20088408812830522,Twareat Medical Care Company
4330.SR,-0.0058191279733939,0.027680212422703916,-6.76,0.096,-0.2102269984250888,Riyad REIT Fund
4082.SR,-0.01700765445362509,0.07731630770918169,-18.6,0.268,-0.21997499567100187,Morabaha Marina Financing Company
4160.SR,-0.017068195478809455,0.07732816654533656,-18.66,0.268,-0.22072417129924554,Thimar Development Holding Company
2040.SR,-0.016711340064214344,0.07493538545685008,-18.31,0.26,-0.2230099967102619,Saudi Ceramic Company
1832.SR,-0.012841010714545987,0.05653046243053179,-14.37,0.196,-0.22715205505926708,Sadr Logistics Company
9546.SR,-0.02023369623298518,0.088480006469978,-21.75,0.307,-0.2286809985694411,Naba Al Saha Medical Services Company
9611.SR,-0.01318397256931857,0.056965493804551876,-14.72,0.197,-0.23143787034573365,Arabian United Float Glass Company
9608.SR,-0.025763503982853823,0.11050010154729834,-26.89,0.383,-0.2331536679341968,Al Ashghal Al Moysra Co.
2270.SR,-0.018843048473178973,0.07984849817123776,-20.41,0.277,-0.23598500791798774,Saudia Dairy & Foodstuff Company
9570.SR,-0.02658320526990984,0.11204970072248387,-27.63,0.388,-0.23724476815649057,Tam Development Company
1202.SR,-0.02782117562180592,0.11152082747197248,-28.72,0.386,-0.24947067065833925,Middle East Company for Manufacturing and Producing Paper
9524.SR,-0.03614231393883405,0.14381678905448753,-35.71,0.498,-0.25130803000434737,Advance International Company for Communication and Information Technology
