Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
XCMC.ST,0.054823108589656076,0.03332452683671002,89.74,0.115,1.6451278920864796,,,,Xtrackers Bloomberg Commodity Swap UCITS ETF 1C - USD
SHB-A.ST,0.030248450693809503,0.023610357926710228,42.99,0.082,1.2811517211092192,0.42070661049268304,0.421,Yes,Svenska Handelsbanken AB (publ)
SWED-A.ST,0.035481797407265765,0.030180044899896043,51.95,0.105,1.175670795883673,0.15324382754174504,0.153,Yes,Swedbank AB (publ)
OCTV-SDB.ST,0.06751218518338596,0.06527943686895403,119.02,0.226,1.0342029346686015,-8.926591999413452,8.927,No,Octave Intelligence plc
ARENIT-SDB.ST,0.11046723900270468,0.11846095970600046,251.62,0.41,0.9325202098384581,-27.565551425971133,27.566,No,Arenit Industrie SE
NTECH.ST,0.1215132417210146,0.1376623363007006,295.96,0.477,0.8826905382136551,,,,Stockholm Nordtech Group AB
BESQAB-PREF-B.ST,0.013755223239727233,0.015955117128704507,17.81,0.055,0.862119853384248,0.2882786272672555,0.288,Yes,Besqab AB (publ)
TANGEN-B.ST,0.10600569727759553,0.12330745855264529,235.03,0.427,0.8596860118752436,,,,Tången Industrikapital AB (publ)
SSAB-B.ST,0.06532635958414407,0.07702678924165413,113.69,0.267,0.8480992162245968,1.1228946643854842,1.123,Yes,SSAB AB (publ)
HOFI.ST,0.08190894274088385,0.09789380786381761,157.21,0.339,0.8367121938379322,0.4294689987135898,0.429,Yes,Hoist Finance AB (publ)
INVE-B.ST,0.033573925894488085,0.040735878823846446,48.63,0.141,0.8241856285873029,0.8966175642124409,0.897,Yes,Investor AB (publ)
NAVIGO-PREF.ST,0.036695888153798754,0.04454714104976936,54.1,0.154,0.8237540566924607,-0.026302757423381017,0.026,No,Navigo Invest AB (publ)
INVE-A.ST,0.03271567010478683,0.040160231206563674,47.15,0.139,0.8146285298138392,0.8945002367498318,0.895,Yes,Investor AB (publ)
SVOL-A.ST,0.022409083657620624,0.028062265154524094,30.47,0.097,0.7985486393997641,0.5323409700941907,0.532,Yes,Svolder AB (publ)
SSAB-A.ST,0.06189398700463856,0.07854554083308157,105.58,0.272,0.7880012836905725,1.1321465087240932,1.132,Yes,SSAB AB (publ)
HTRO.ST,0.07411567914789643,0.10017372699302797,135.84,0.347,0.7398714350825226,0.10643869036697118,0.106,Yes,Hexatronic Group AB (publ)
ALM-PREF.ST,0.013487986564662935,0.01865379158045819,17.44,0.065,0.7230694363923857,-0.17472912094547713,0.175,No,ALM Equity AB (publ)
XD3E.ST,0.021321031152547736,0.030087533986506848,28.81,0.104,0.7086333882367838,0.34581491152743987,0.346,Yes,Xtrackers Euro Stoxx Quality Dividend UCITS ETF 1D
LOYAL.ST,0.09236504455255089,0.13100563187577438,188.68,0.454,0.7050463650305944,1.3164102462947003,1.316,Yes,Loyal Solutions A/S
CLA-B.ST,0.05441574228040146,0.08126822936687127,88.86,0.282,0.6695819843047284,0.39773607001994166,0.398,Yes,Cloetta AB (publ)
FLEXQ.ST,0.1305301492457913,0.19736151390934054,335.9,0.684,0.6613759018171662,0.23395559968822455,0.234,Yes,FlexQube AB (publ)
SOBI.ST,0.043640993664068636,0.06663043645797972,66.96,0.231,0.6549708509202201,0.7861734531302991,0.786,Yes,Swedish Orphan Biovitrum AB (publ)
EXUS.ST,0.018831974426144166,0.029254998770509636,25.09,0.101,0.6437181752722427,0.5507115466094523,0.551,Yes,Xtrackers MSCI World ex USA UCITS ETF 1C USD
ATT.ST,0.05294155272857581,0.0829062284522971,85.72,0.287,0.6385714766778653,1.0497212673055805,1.05,Yes,Attendo AB (publ)
INDU-C.ST,0.037209773219311744,0.06035559241392476,55.02,0.209,0.6165091208801887,1.3554387467923252,1.355,Yes,AB Industrivärden (publ)
XMN1.ST,0.020807791474756764,0.033879137129790675,28.03,0.117,0.6141771378368434,0.5263475739923689,0.526,Yes,Xtrackers MSCI Nordic UCITS ETF 1C
INDU-A.ST,0.03824905116525835,0.06355535025051559,56.9,0.22,0.601822679199979,1.4000444807291432,1.4,Yes,AB Industrivärden (publ)
NDA-SE.ST,0.023450242042109534,0.03909467436366756,32.07,0.135,0.5998321363152957,0.704725104748265,0.705,Yes,Nordea Bank Abp
