Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
ODINE.IS,0.2900891863095029,0.23909667932897405,2025.38,0.828,1.213271498055262,-1.0809189148428082,1.081,No,Odine Solutions Teknoloji Ticaret ve Sanayi A.S.
IEYHO.IS,0.20365348026260408,0.17683225565667052,824.74,0.613,1.1516760870709495,-0.29556138598756837,0.296,No,Isiklar Enerji ve Yapi Holding A.S.
ARASE.IS,0.0794270158579033,0.0768245070437329,150.22,0.266,1.0338760236064892,0.38950032566861315,0.39,Yes,Dogu Aras Enerji Yatirimlari AS
KTLEV.IS,0.32045960785308486,0.3219413340014489,2709.97,1.115,0.9953975274626979,1.506684708487821,1.507,Yes,Katilimevim Tasarruf Finansman Anonim Sirketi
AKFIS.IS,0.16339135098844434,0.18584319480572054,514.77,0.644,0.8791893141917452,-0.5061678066151982,0.506,No,Akfen Insaat Turizm ve Ticaret Anonim Sirketi
OZSUB.IS,0.087951464406006,0.10136456534207547,174.99,0.351,0.8676746564166263,0.4796848607478322,0.48,Yes,Özsu Balik Üretim Anonim Sirketi
ARDYZ.IS,0.12541560612360853,0.15049369162024595,312.81,0.521,0.8333612178248695,1.2563122309708954,1.256,Yes,Ard Grup Bilisim Teknolojileri Anonim Sirketi
EUPWR.IS,0.13615228793011605,0.1667715036550968,362.64,0.578,0.8164001939545684,1.0156689273877177,1.016,Yes,Europower Enerji ve Otomasyon Teknolojileri Sanayi Ticaret Anonim Sirketi
GUNDG.IS,0.3562943260606564,0.4364866305157861,3774.78,1.512,0.8162777532031891,-2.7194917159280028,2.719,No,Gundogdu Gida Sut Urunleri Sanayi ve Dis Ticaret Anonim Sirketi
ARMGD.IS,0.1852677671468523,0.23374795842048918,668.77,0.81,0.7925963007282149,0.7646080438153176,0.765,Yes,Armada Gida Ticaret Sanayi Anonim Sirketi
BAHKM.IS,0.12341271982692364,0.15646997978015895,304.08,0.542,0.788730975745757,0.695880013890635,0.696,Yes,Bahadir Kimya Sanayi ve Ticaret A.S.
ASTOR.IS,0.12841334146521943,0.17980575125618747,326.21,0.623,0.714178164870021,1.4526387835803625,1.453,Yes,Astor Enerji A.S.
EDATA.IS,0.15357555269597467,0.2175824632923232,455.33,0.754,0.7058268868371304,1.1955672821674563,1.196,Yes,E-Data Teknoloji Pazarlama Anonim Sirketi
KRDMB.IS,0.18056204235232926,0.25699085605478805,632.94,0.89,0.702601038512573,0.9972090260159082,0.997,Yes,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.S.
EUKYO.IS,0.08599502672851349,0.12626000678051075,169.11,0.437,0.6810947418845499,-0.2956033198706624,0.296,No,Euro Kapital Yatirim Ortakligi Anonim Sirketi
OZRDN.IS,0.12792018045354667,0.2087023868952059,323.98,0.723,0.612931085056436,-0.14765399875775695,0.148,No,Özerden Ambalaj Sanayi A.S.
MOBTL.IS,0.06399122226597487,0.10670822073433435,110.5,0.37,0.5996840901816771,-0.02635922995168649,0.026,No,Mobiltel Iletisim Hizmetleri Sanayi ve Ticaret A.S.
KERVN.IS,0.14493531384928138,0.24590414414104475,407.42,0.852,0.5893976059474213,-1.5554003768375617,1.555,No,Kervansaray Yatirim Holding A.S.
PRZMA.IS,0.21431124627299572,0.36974317094674225,927.92,1.281,0.5796219189775518,1.7234983737542922,1.723,Yes,Prizma Pres Matbaacilik Yayincilik Sanayi ve Ticaret A.S.
SEKUR.IS,0.13016060897433362,0.22572909480061523,334.19,0.782,0.5766230936658985,-0.9694073860394327,0.969,No,Sekuro Plastik Ambalaj Sanayi A.S.
AYES.IS,0.07919228485429815,0.13885474993795804,149.57,0.481,0.5703246370014868,-0.02262935486686556,0.023,No,Ayes Celik Hasir Ve Cit Sanayi A.S.
AKCNS.IS,0.05737928540225056,0.10130601124953968,95.33,0.351,0.5663956629475063,0.5940705191787263,0.594,Yes,Akçansa Çimento Sanayi ve Ticaret Anonim Sirketi
RYSAS.IS,0.07042995261592683,0.12448936096419772,126.31,0.431,0.5657507763750349,1.075122410200711,1.075,Yes,Reysas Tasimacilik ve Lojistik Ticaret A.S.
BIMAS.IS,0.040933468124177724,0.07248152966203224,61.84,0.251,0.5647434362249638,0.6737031808563396,0.674,Yes,BIM Birlesik Magazalar A.S.
DMRGD.IS,0.14312042117031695,0.2540411626645003,397.86,0.88,0.5633749258159753,0.4584265059303977,0.458,Yes,Dmr Unlu Mamuller Uretim Gida Toptan Perakende Ihracat A.S.
MANAS.IS,0.19558996176718174,0.347203460453694,753.07,1.203,0.5633295287771687,-1.3513223269483912,1.351,No,Manas Enerji Yonetimi Sanayi Ve Ticaret Anonim Sirketi
