Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
561470.SS,0.02415658113021226,0.001780333606988604,33.17,0.006,13.56856997777658,,,,TianHong CSI Livestock Breeding Inds ETF
159063.SZ,0.08194469637545956,0.025389879526337093,157.31,0.088,3.2274551082630296,,,,China Southern CNI Grain Industry ETF
511360.SS,0.0015129839405488349,0.0005602493562001521,1.83,0.002,2.70055453666298,-0.0006596000355169029,0.001,No,HFT CSI Short Term Note ETF
159112.SZ,0.0020741113905427305,0.0012110407468922677,2.52,0.004,1.7126685422148231,0.009590076586696097,0.01,Yes,Yinhua CSI AAA Sci-Tech Inno Corp Bd ETF
159110.SZ,0.0023865174367148872,0.0016488314772237056,2.9,0.006,1.4473992458788412,0.00853992087566165,0.009,Yes,Wanjia SZSE AAA Sci-Tech Inno Cor Bd ETF
159115.SZ,0.0022390462740670457,0.0016394938337765059,2.72,0.006,1.3656936232016779,0.013197740840166986,0.013,Yes,Huaan CSI AAA Sci-Tech Inno Corp Bd ETF
511150.SS,0.0022679353426894745,0.0016724393614986589,2.76,0.006,1.3560643183243406,0.007486549681819316,0.007,Yes,Maxwealth SSE AAA Sci-Tech In Cor Bd ETF
551520.SS,0.002124312369322571,0.001580828734785068,2.58,0.005,1.3437966571447704,0.006841883006010214,0.007,Yes,China Universal CSI AAA Sci-Tc IC Bd ETF
159113.SZ,0.0022192851415034896,0.0017031080187096068,2.7,0.006,1.3030794976733036,0.011817729958526134,0.012,Yes,DaCheng CSI AAA Sci-Tech Inno Cor Bd ETF
159023.SZ,0.061511463903038965,0.04811616887413156,104.69,0.167,1.278394879358507,,,,Wanjia CSI Livestock Breeding Inds ETF
551580.SS,0.0020676165283951544,0.0016215092535352578,2.51,0.006,1.2751185501330207,0.004277174881785328,0.004,Yes,TK CSI AAA Sci-Tech Inno Corp Bd ETF
551510.SS,0.0023279539705789794,0.0018325791090707776,2.83,0.006,1.2703156764454142,0.00920605515628671,0.009,Yes,Huatai-PB CSI AAA Sci-Tech Innovation Corporate Bond Index
159011.SZ,0.06077856808938139,0.04824151577112964,103.0,0.167,1.2598809784031415,,,,Huaan CSI Livestock Breeding Indstry ETF
159116.SZ,0.002384223668714189,0.001967405730980654,2.9,0.007,1.2118617076131888,0.012408876355124247,0.012,Yes,ICBCCS CSI AAA Sci-Tech Inno Corp Bd ETF
551300.SS,0.0022550889105472367,0.0018716155789710023,2.74,0.006,1.2048889397399998,0.014288420417960877,0.014,Yes,JPM SSE AAA Sci-Tech Inno Corp Bd ETF
551800.SS,0.002161679443984602,0.0018130592899453972,2.63,0.006,1.192282820519181,0.006921559655837584,0.007,Yes,Guotai CSI AAA Sci-Tech Inno Corp Bd ETF
159111.SZ,0.002317065593037085,0.0020612676980261034,2.82,0.007,1.1240973674869774,0.017535769129384194,0.018,Yes,TianHong CSI AAA Sci-Tech In Corp Bd ETF
508602.SS,0.0017067034302320789,0.001537928190441037,2.07,0.005,1.1097419507881194,,,,GUOTAI HAITONG SECURITIES CO LTD - CATHAY HAITONG SASSEUR GROUP REIT Fund
551560.SS,0.0020333044425309517,0.0018353801066908493,2.47,0.006,1.1078383355679688,0.004022030143242117,0.004,Yes,CIB CSI AAA Sci-Tech Inno Corp Bd ETF
551060.SS,0.0019382257066886364,0.0019486914984355608,2.35,0.007,0.9946293234432816,0.011097859534805691,0.011,Yes,BOC SSE AAA Sci-Tech Inno Corp Bd ETF
159816.SZ,0.002341619528092181,0.0024398044589675353,2.85,0.008,0.9597570491706932,-0.009140178500735497,0.009,No,Penghua CSI 0-4Y Local Gover Debt ETF
159650.SZ,0.00176125183500412,0.001925344861428235,2.13,0.007,0.9147721378587784,-0.0022000864062942833,0.002,No,Bosera ChinaBond 0-3 Year CDB Bond ETF
159651.SZ,0.0016753484576042344,0.00191235779861534,2.03,0.007,0.8760643321125814,0.000547013785511902,0.001,Yes,Ping An CDB Bond 0-3 ETF
561420.SS,0.053529613481727266,0.0620420249288555,86.97,0.215,0.8627960409595021,,,,China Universal CSI 300 FCF ETF
159649.SZ,0.002117718715903192,0.0025207816134217857,2.57,0.009,0.8401039997386113,-0.004127781802118419,0.004,No,HuaAn ChinaBond 1-5 Year CDB Bond Index ETF
688796.SS,0.11168268159584419,0.13306430899084923,256.26,0.461,0.8393135803495178,0.4129063513161455,0.413,Yes,"Biocytogen Pharmaceuticals (Beijing) Co., Ltd."
551500.SS,0.0018335681481538514,0.002238243426190887,2.22,0.008,0.8191996128295462,0.0005189477163599862,0.001,Yes,"E Fund Management Co., Ltd - E Fund CSI AAA Sci-Tech Innovation Corporate ETF"
511220.SS,0.0025669890683662467,0.00314901488553946,3.12,0.011,0.8151720972022316,-0.019351943309410882,0.019,No,HFT SSE Urban Construction Investment Bond Exchange Traded Index Fund
561430.SS,0.04492701993468452,0.0568529781499365,69.45,0.197,0.7902316008178141,,,,Bosera CSI All Share Dividend Qualty ETF
159200.SZ,0.0016906002721157863,0.0021620612528869304,2.05,0.007,0.7819391193743389,-0.0035810715456321613,0.004,No,Fullgoal CSI AAA Sci-Tech Ino Crp Bd ETF
159972.SZ,0.0032863596040482793,0.004213406243303142,4.02,0.015,0.7799769151791793,-0.011712783658575816,0.012,No,Penghua CSI 5Y Local Gover Debt ETF
159600.SZ,0.0015292362400581027,0.0020496130316479235,1.85,0.007,0.7461097370309804,0.0015892659851227894,0.002,Yes,Harvest CSI AAA Sci-Tech Inno Crp Bd ETF
688808.SS,0.3024729006947007,0.41780134653977363,2283.55,1.447,0.7239634414770992,7.431860674800564,7.432,Yes,"Semight Instruments Co., Ltd."
511060.SS,0.0031356553349288063,0.004421972526053724,3.83,0.015,0.7091078283399336,-0.021993049484833067,0.022,No,HFT SSE 5-Year Local Government Bond ETF
511010.SS,0.002652009197753855,0.003750176699335709,3.23,0.013,0.7071691310501771,-0.021330681483554156,0.021,No,Guotai SSE Delivrb 5 Yr Trs Bd Idx ETF
551900.SS,0.0015798042816813327,0.002339132171613787,1.91,0.008,0.6753805111369199,-0.0030283724539853407,0.003,No,CMF CSI AAA Sci-Tech Inno Corp Bd ETF
511120.SS,0.0015324899090185043,0.0022719887757566034,1.85,0.008,0.6745147358873567,-0.01503962356592048,0.015,No,Gf Fund Management Co Ltd - GF SSE AAA Sci-Tech Innovation Corporate Bond Index ETF
159395.SZ,0.001800987751669757,0.0026892096358551885,2.18,0.009,0.6697089463228216,-0.016352287393819814,0.016,No,DaCheng SZSE MM Credit Bond ETF
512410.SS,0.05215987857725799,0.07797996850814268,84.07,0.27,0.6688881718618731,,,,GF CSI Banks ETF
551030.SS,0.0016114642928313641,0.0024709435730157657,1.95,0.009,0.6521655574937252,-0.004331457960576398,0.004,No,Penghua SSE AAA Sci-Tech Inno Crp Bd ETF
551000.SS,0.001734770312155323,0.002845493950963001,2.1,0.01,0.6096552451177147,-0.003451805728145424,0.003,No,Bosera SSE AAA Sci-Tech Inno Corp Bd ETF
