Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
CABK.MC,0.044126162637830375,0.062120249126664286,67.89,0.215,0.7103346051922032,0.890132410138664,0.89,Yes,"CaixaBank, S.A."
ISUR.MC,0.029790972051367756,0.04315165190972836,42.23,0.149,0.6903784845523261,0.25298328233917516,0.253,Yes,"Inmobiliaria del Sur, S.A."
BKT.MC,0.035813136709346036,0.057835289468619565,52.54,0.2,0.6192263761172602,0.8503536637637726,0.85,Yes,"Bankinter, S.A."
YGOP.MC,0.006896040040156677,0.011228659687522903,8.6,0.039,0.6141463212942003,-0.013547541090848516,0.014,No,"Gop Properties Socimi, S.A."
BBVA.MC,0.04178218323043981,0.07081255895116553,63.43,0.245,0.590039166064512,1.3741349923952009,1.374,Yes,"Banco Bilbao Vizcaya Argentaria, S.A."
YEPSA.MC,0.055238410301569486,0.09383153348952478,90.64,0.325,0.5886977250322379,-1.877168163520705,1.877,No,"Emperador Properties SOCIMI, S.A."
SAN.MC,0.04195569993090359,0.07129766553692052,63.75,0.247,0.5884582561707775,1.511839628721132,1.512,Yes,"Banco Santander, S.A."
ACS.MC,0.03732002213165665,0.06404050601739841,55.22,0.222,0.5827565154078829,0.540713146197608,0.541,Yes,"ACS, Actividades de Construcción y Servicios, S.A."
UNI.MC,0.04502723341127464,0.0781297078835876,69.64,0.271,0.5763138584668039,1.0434121655554796,1.043,Yes,"Unicaja Banco, S.A."
^IBEX,0.022428610096490283,0.039679245933172125,30.5,0.137,0.5652478914106532,1.0,1.0,Yes,IBEX 35
SAB.MC,0.048295936551896075,0.090218930981616,76.12,0.313,0.5353193174250467,1.1131939113114089,1.113,Yes,"Banco de Sabadell, S.A."
MAP.MC,0.03072038750180726,0.05753675200920334,43.78,0.199,0.5339263414954907,0.7116064671129039,0.712,Yes,"Mapfre, S.A."
