Ticker,mean,std,Return,Risk,sharpe,Name
KIB.KW,0.021824725722441655,0.04543903020982215,29.57,0.157,0.48030791197924816,Kuwait International Bank K.S.C.P.
UNICAP.KW,0.07208760084012654,0.1558045721121257,130.55,0.54,0.4626796239859268,Unicap Investment and Finance Company K.S.C.P.
NOOR.KW,0.037277947831427134,0.08060008904313953,55.15,0.279,0.46250504526707015,Noor Financial Investment Company - KPSC
GFC.KW,0.07358464004077085,0.1691749387498504,134.44,0.586,0.434961824632763,Gulf Franchising Holding Company - K.S.C. (Public)
NAPESCO.KW,0.02556768817884092,0.06443392439928475,35.39,0.223,0.3968047642171045,National Petroleum Services Company K.S.C.P.
PHC.KW,0.04321371280408865,0.10995943957987687,66.14,0.381,0.39299684473834817,Privatization Holding Company - K.P.S.C.
KRE.KW,0.040450195428221584,0.10297792113289381,60.94,0.357,0.3928045447336259,Kuwait Real Estate Company K.P.S.C.
DIGITUS.KW,0.10098071615946362,0.26469788724161014,217.22,0.917,0.38149422804909183,"Digitus Group for Digital Infrastructure, Data Centers & Communications. (K.S.C.P)"
AAYANRE.KW,0.03009235570706911,0.07898966755845312,42.73,0.274,0.3809657216850606,A'ayan Real Estate Company K.S.C.P.
MEZZAN.KW,0.035206149353616684,0.09330472694224924,51.47,0.323,0.3773243918864631,Mezzan Holding Company K.S.C.P.
KAMCO.KW,0.031066477592692585,0.08352336169296447,44.36,0.289,0.37194955953634046,KAMCO Investment Company K.S.C.P.
WARBABANK.KW,0.020725859082980275,0.056204207102854786,27.91,0.195,0.36875992299031196,Warba Bank K.S.C.P.
GFH.KW,0.028930655231729486,0.0811047389600606,40.81,0.281,0.3567073342776698,GFH Bank B.S.C.
URC.KW,0.06306166529119991,0.17716429059598154,108.31,0.614,0.3559502035035399,United Real Estate Company K.S.C.P.
FACIL.KW,0.02118613057655697,0.060711113294187,28.61,0.21,0.34896626708022355,Commercial Facilities Company S.A.K.P.
SENERGY.KW,0.04566901364819062,0.13216017264012606,70.9,0.458,0.3455580659125497,Senergy Holding Company K.S.C.P.
ACICO.KW,0.07705644537525122,0.23278400712883268,143.7,0.806,0.33102121716035615,ACICO Industries Company - K.S.C. (Public)
WINSRE.KW,0.024423724112006735,0.0767834037901885,33.58,0.266,0.3180859783026138,Warba Insurance and Reinsurance Company (K.S.C.P.)
KFH.KW,0.009905020117371755,0.03144215973000063,12.56,0.109,0.3150235289950789,Kuwait Finance House K.S.C.P.
ALMANAR.KW,0.02671032833229337,0.08738338969281023,37.21,0.303,0.3056682560174368,Al Manar Financing and Leasing Company K.S.C. (Public)
ARZAN.KW,0.023555649584569332,0.07785556383216623,32.23,0.27,0.3025557638417263,Arzan Financial Group for Financing and Investment - KPSC
