Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
0396.KL,0.13219388466690388,0.09116315842045714,343.66,0.316,1.450080130585289,-0.04598045018459185,0.046,No,Adnex Group Berhad
0459.KL,0.14003671582754987,0.11622789561613425,381.98,0.403,1.204846006074557,,,,Sum Technology Berhad
0455.KL,0.43344829195178036,0.38671433029043606,7426.35,1.34,1.1208487971631294,,,,Bus Cap Berhad
0392.KL,0.2508826701727679,0.2466049597001471,1367.57,0.854,1.0173464089198456,-2.1343210611128587,2.134,No,Kee Ming Group Berhad
0391.KL,0.29156493255492744,0.3041238975989578,2054.74,1.054,0.9587044453159297,0.5947025638285222,0.595,Yes,Ambest Group Berhad
5352.KL,0.08477539344306351,0.09552187143998712,165.51,0.331,0.8874972000137661,2.0295916953566673,2.03,Yes,MTT Shipping and Logistics Berhad
0453.KL,0.05951175834230658,0.07494354785850532,100.11,0.26,0.7940878173350664,,,,EI Power Berhad
0359.KL,0.11583738728297943,0.14642754045038495,272.57,0.507,0.791090166007599,-2.3616753194103732,2.362,No,Hartanah Kenyalang Berhad
03061.KL,0.04268950806546267,0.0558838543426695,65.14,0.194,0.7638969889889569,-1.1304469546220666,1.13,No,TP TEC Holding Berhad
0395.KL,0.150699838526517,0.2153408726989974,438.95,0.746,0.699819948891749,-6.548582889901027,6.549,No,OGX Group Berhad
2089.KL,0.03772586455788368,0.059292814770500045,55.95,0.205,0.6362636805809636,0.44233777511863526,0.442,Yes,United Plantations Berhad
0239.KL,0.02646576170918759,0.04253847638509161,36.81,0.147,0.6221605463627513,-0.3406431254844579,0.341,No,Ecomate Holdings Berhad
0321.KL,0.025278498049341746,0.042075777004628286,34.93,0.146,0.6007850561276894,0.1802770275821559,0.18,Yes,Solar District Cooling Group Berhad
0375.KL,0.09998467473731701,0.16718206841276537,213.79,0.579,0.598058605725939,0.029113275705294248,0.029,Yes,THMY Holdings Berhad
0225.KL,0.06530924583520967,0.1123005398561449,113.65,0.389,0.581557719302772,0.7506069933871363,0.751,Yes,Southern Cable Group Berhad
5606.KL,0.02255906638957351,0.041352299333166094,30.7,0.143,0.5455335435599417,0.6107197757271622,0.611,Yes,IGB Berhad
5340.KL,0.08049150782989477,0.14786448138976738,153.2,0.512,0.5443599914824778,-0.6874446974251163,0.687,No,UMS Integration Limited
5227.KL,0.019283695699272088,0.03590344458744853,25.76,0.124,0.5370987636660765,0.32438002563600343,0.324,Yes,IGB Real Estate Investment Trust
1015.KL,0.02375652281232158,0.044337647522961356,32.54,0.154,0.5358092758534082,0.6424890504820316,0.642,Yes,AMMB Holdings Berhad
6262.KL,0.02279476672485627,0.04345369595597957,31.06,0.151,0.5245760164555009,-0.005424988281427012,0.005,No,Innoprise Plantations Berhad
1066.KL,0.019199230202293697,0.03682727803110452,25.63,0.128,0.5213317744004301,0.4775816511620354,0.478,Yes,RHB Bank Berhad
0399.KL,0.09806219590972048,0.1906683510586449,207.27,0.66,0.5143076728007102,5.574654146624497,5.575,Yes,AMS Advanced Material Berhad
6491.KL,0.017796824600634763,0.03469227545690804,23.58,0.12,0.5129909862136471,0.009373022140018894,0.009,Yes,Kumpulan Fima Berhad
4863.KL,0.017216487090071644,0.03449285537778138,22.73,0.119,0.49913197679661125,0.727003711469793,0.727,Yes,Telekom Malaysia Berhad
