Ticker,mean,std,Return,Risk,sharpe,Name
IGRD.QA,0.030506837326393744,0.08976852553113826,43.42,0.311,0.339838903957621,Estithmar Holding Q.P.S.C.
VFQS.QA,0.016827119073776604,0.0554670794713801,22.17,0.192,0.30337128318535433,Vodafone Qatar P.Q.S.C.
DHBK.QA,0.020952278428502825,0.07713120433778083,28.25,0.267,0.27164464250741466,Doha Bank Q.P.S.C.
QIIK.QA,0.00840017948542755,0.035464343142751854,10.56,0.123,0.23686268350198852,Qatar International Islamic Bank (Q.P.S.C)
SIIS.QA,0.010065362679787158,0.04460487190311995,12.77,0.155,0.22565612791465325,Salam International Investment Limited Q.P.S.C.
MHAR.QA,0.015546770985869844,0.07247468536901498,20.34,0.251,0.21451312146732734,Al Mahhar Holding Company Q.P.S.C.
ORDS.QA,0.010948243782111613,0.05691197229839134,13.96,0.197,0.19237154046796362,Ooredoo Q.P.S.C.
ABQK.QA,0.007594186753386777,0.04420430978147652,9.5,0.153,0.17179742859754057,Ahli Bank Q.P.S.C.
QIBK.QA,0.009200600046119079,0.05555174827888502,11.62,0.192,0.16562215107847808,Qatar Islamic Bank (Q.P.S.C.)
QNBK.QA,0.007025278251509364,0.04640357734053108,8.76,0.161,0.15139518662439747,Qatar National Bank (Q.P.S.C.)
MCCS.QA,0.01190386051872371,0.09319901364301147,15.26,0.323,0.1277251770530548,Mannai Corporation Q.P.S.C.
QAMC.QA,0.009666292631873455,0.07705971502371235,12.24,0.267,0.1254389875293336,Qatar Aluminium Manufacturing Company Q.P.S.C.
MERS.QA,0.0032917293847990465,0.04076243014596747,4.02,0.141,0.080754002472659,Al Meera Consumer Goods Company Q.P.S.C.
QISI.QA,0.001965524972905699,0.028951708759923957,2.38,0.1,0.06788977428601563,Qatar Islamic Insurance Group Q.P.S.C.
NLCS.QA,0.002973220005001989,0.045869227658699,3.63,0.159,0.06481949134014085,Alijarah Holding (Q.P.S.C.)
MCGS.QA,0.004339688289493716,0.06860798231264652,5.33,0.238,0.06325340205630535,Medicare Group Q.P.S.C.
DBIS.QA,0.003410050842754007,0.09011645366657539,4.17,0.312,0.037840490876071955,Dlala Brokerage and Investment Holding Company Q.P.S.C.
QIGD.QA,0.0009537840792219132,0.043338964895330435,1.15,0.15,0.0220075417473729,Qatari Investors Group Q.P.S.C.
ZHCD.QA,0.0005163974161458435,0.03505461422082364,0.62,0.121,0.01473122519314692,Zad Holding Company Q.P.S.C.
AHCS.QA,-0.00043203094852119146,0.04238030349732443,-0.52,0.147,-0.010194144752844126,Aamal Company Q.P.S.C.
ERES.QA,-0.0018022306041144001,0.09282312033563855,-2.14,0.322,-0.019415751136114854,Ezdan Holding Group Q.P.S.C.
QCFS.QA,-0.0021991998288157805,0.05813158491094112,-2.61,0.201,-0.03783141010493699,Qatar Cinema and Film Distribution Co. (Q.P.S.C)
IQCD.QA,-0.0024426250185269655,0.055520092148591466,-2.89,0.192,-0.04399533437353876,Industries Qatar Q.P.S.C.
QGMD.QA,-0.004191344810485298,0.09304697241376758,-4.92,0.322,-0.04504547221425908,Qatari German Company for Medical Devices (Q.P.S.C.)
QNCD.QA,-0.0024043379424028536,0.039323695399742155,-2.85,0.136,-0.06114221763650979,Qatar National Cement Company (Q.P.S.C.)
QFLS.QA,-0.002828420313598305,0.04331887477545586,-3.34,0.15,-0.06529302361290479,"Qatar Fuel Company Q.P.S.C. (""WOQOD"")"
UDCD.QA,-0.00297142034430811,0.04245143372998786,-3.51,0.147,-0.06999575946498804,United Development Company Q.P.S.C.
GWCS.QA,-0.005129579192008754,0.04863353762825042,-5.98,0.168,-0.10547411194346401,Gulf Warehousing Company Q.P.S.C.
WDAM.QA,-0.00963496049726913,0.0839307759357255,-10.97,0.291,-0.11479651403017671,Widam Food Company Q.P.S.C.
GISS.QA,-0.008245984301520211,0.0670456768639001,-9.46,0.232,-0.12299054446506986,Gulf International Services Q.P.S.C.
QLMI.QA,-0.006520948160420102,0.05158038100275544,-7.55,0.179,-0.12642303204529937,QLM Life & Medical Insurance Company Q.P.S.C.
MFMS.QA,-0.007470370520652969,0.044809412723317656,-8.61,0.155,-0.16671431439594794,Mosanada Facility Management Services Q.P.S.C.
MKDM.QA,-0.009910613807694407,0.0547257453307227,-11.27,0.19,-0.18109600422619823,Mekdam Holding Group - Q.P.S.C.
MPHC.QA,-0.010381899371610421,0.0540804848076081,-11.77,0.187,-0.19197127038605774,Mesaieed Petrochemical Holding Company Q.P.S.C.
IHGS.QA,-0.012986976207838593,0.06413808394473282,-14.52,0.222,-0.20248463017743634,INMA Holding Company Q.P.S.C.
QOIS.QA,-0.018696848176673005,0.061931431808648255,-20.27,0.215,-0.30189594573626716,Qatar Oman Investment Company Q.S.C.
TQES.QA,-0.016524218156430216,0.043810549447618405,-18.12,0.152,-0.3771744103823033,Qatar Electronic Systems Company (Techno Q) Q.P.S.C.
